source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1999ApJ...514..607A,ClG,Abell 1656,xray_temperature_kt,8.0,keV,9,"[300, 370, 715, 680]",doc5_p9,vlm_table,0.95,spectral fitting,scope: global;metric: xray_temperature_kt,Table 1. The five clusters in the sample. ... A1656 58.16 +88.01 8.0 0.0231,
2002A&A...383..367S,ClG,Abell 1656,xray_temperature_kt,"8.3, 7.3",keV,5,"[65, 107, 906, 750]",doc12_p5,vlm_table,0.95,X-ray spectral fitting,scope: global;metric: xray_temperature_kt,Table 3. Physical Properties of Observed Clusters ... Abell 1656 (Coma) ... Temperature [keV] ... 8.3 [1] ... 7.3 [2],
2002ApJ...574L.119D,ClG,Abell 1656,xray_temperature_kt,8.2,keV,2,"[284, 632, 377, 650]",doc7_p2,vlm_text,0.98,X-ray spectral fitting (XMM/EPIC),scope: global;metric: xray_temperature_kt,The most recent high spectral and spatial resolution measurements with the XMM/EPIC experiment are best fit by kT=8.2±0.1 keV (at 90% confidence level) in the central 10' region (Arnaud et al. 2001).,
2008MNRAS.386..715T,ClG,Abell 1656,velocity_dispersion,7007,km/s,4,"[616, 658, 652, 675]",doc6_p4,vlm_text,0.95,literature,scope: global;metric: velocity_dispersion,"Twelve ETGs with -22 ≲ M_b_J ≲ -16 (assuming a cluster velocity of c_zhel = 7007 km s^-1, Hudson et al. 2001, and H_0 = 72 km s^-1 Mpc^-1, Freedman et al. 2001) were observed",
2013ApJ...763L...3F,ClG,Abell 1656,xray_temperature_kt,5,keV,2,"[763, 704, 811, 721]",doc10_p2,vlm_text,0.9,Supermodel fit / theoretical derivation,scope: global;metric: xray_temperature_kt,...strong accretion shocks standing at the virial boundary with Mach numbers M ~ 10 that produce outer temperatures k_B T_R ~ 5 keV.,
2013PASJ...65...10M,ClG,Abell 1656,xray_temperature_kt,7.8,keV,2,"[615, 642, 675, 659]",doc11_p2,vlm_text,0.95,spectral fitting,scope: global;metric: xray_temperature_kt,"The virial radius of the Coma cluster, r180 = 1.95 h100^-1 sqrt(k<T>/10 keV) Mpc (Evrard et al. 1996; Markevitch et al. 1998), is 2.5 Mpc for the average temperature k<T>=7.8 keV.",
2018AJ....156..224J,ClG,Abell 1656,velocity_dispersion,1154 +56 -56,km/s,3,"[108, 81, 892, 311]",doc8_p3,vlm_table,0.98,spectroscopy,scope: global;metric: velocity_dispersion,Table 1. Cluster Properties and Parent Samples ... Coma/Abell 1656 ... 1154 +56 -56 ... km s^-1,
2021A&A...651A..41C,ClG,Abell 1656,xray_temperature_kt,9.0,keV,7,"[76, 746, 92, 762]",doc9_p7,vlm_text,0.95,X-ray spectral fitting,scope: global;metric: xray_temperature_kt,"Overall, the recovered temperature map agrees well with the X-ray measurements of the projected temperature, which show ~ 8 - 10 keV in the core (e.g., a temperature map in Sanders et al. 2013; Lyskov",
2021A&A...651A..41C,ClG,Abell 1656,xray_temperature_kt,15,keV,7,"[381, 785, 438, 801]",doc9_p7,vlm_text,0.95,X-ray spectral fitting,scope: global;metric: xray_temperature_kt,"To the North from the core, the temperature increases to ~ 15 keV. This is slightly higher than typically found in X-ray data, although a tentative presence of a 'hot spot' on the North was reported e",
SRC_DB_MCXC,ClG,Abell 1656,mass_m500,4.284599781036377,1e+14solMass,,,,database_query,,,,,
SRC_DB_PSZ2,ClG,Abell 1656,mass_m500,3.9624109999999999,1e+14solMass,,,,database_query,,,,,
SRC_DB_PSZ2,ClG,Abell 1656,mass_m500,5.1223910000000004,1e+14solMass,,,,database_query,,,,,
SRC_DB_PSZ2,ClG,Abell 1656,mass_m500,5.297053,1e+14solMass,,,,database_query,,,,,
SRC_DB_PSZ2,ClG,Abell 1656,mass_m500,6.3335619999999997,1e+14solMass,,,,database_query,,,,,
SRC_DB_PSZ2,ClG,Abell 1656,mass_m500,2.8352970000000002,1e+14solMass,,,,database_query,,,,,
SRC_DB_PSZ2,ClG,Abell 1656,mass_m500,3.5104009999999999,1e+14solMass,,,,database_query,,,,,
SRC_DB_PSZ2,ClG,Abell 1656,mass_m500,4.4111320000000003,1e+14solMass,,,,database_query,,,,,
SRC_DB_PSZ2,ClG,Abell 1656,mass_m500,5.7360170000000004,1e+14solMass,,,,database_query,,,,,
SRC_SUPPL_J_AJ_156_224,ClG,Abell 1656,velocity_dispersion,1154,km / s,,,,database_query,,,,,
