source_id,cluster_age,cluster_age_unit,dist_modulus,dist_modulus_unit,distance,distance_unit,fe_h,fe_h_unit,parallax,parallax_unit
2025ApJ...994..111B,,,,,,,,,,
2025A&A...698A...7F,118,Myr,,,,,"-0.03",dex,,
2023A&A...677A.163A,7.99,Myr,,,135.74,pc,0.015,dex,,
2023A&A...677A.162B,120,Myr,,,135,pc,,,,
2022RMxAA..58..315M,,,,,,,,,8.6,mas
2019A&A...628A..66L,132,Myr,,,135.15,pc,,,,
2018ApJ...863...67G,112,Myr,5.64,mag,,,,,,
2018ApJ...863..179S,120,Myr,,,,,,,,
2018MNRAS.473.4612K,,,,,,,,,7.48,mas
2018Ap&SS.363...58E,,,,,136.8,pc,,,,
2018A&A...613A..63B,125,Myr,,,,,,,,
2017A&A...598A..48G,,,,,134.4,pc,,,7.44,mas
2017PASJ...69....1T,120-130,Myr,,,136.2,pc,0,dex,,
2016AJ....152..115S,125,Myr,,,136.2,pc,,,,
2016A&A...595A..59M,,,,,134.8,pc,,,7.42,mas
2013IAUS..289...60M,,,5.65 ± 0.05,mag,134.6 ± 3.1,pc,,,7.43 ± 0.17,mas
2009AJ....138.1292S,,,,,,,0.03,dex,,
2008A&A...483..567G,100,Myr,,,134,pc,,,,
2008ApJ...678..431C,125,Myr,,,133,pc,,,,
2007ApJS..172..663S,100,Myr,,,133,pc,,,,
2006A&A...446..611F,87.5,Myr,,,,,"-0.005",dex,,
2005AJ....129.1616S,,,5.65 ± 0.05,mag,134.6 ± 3.1,pc,,,7.49 ± 0.07,mas
2005A&A...429..645S,125,Myr,,,129,pc,"-0.034",dex,,
2005A&A...429..887P,100,Myr,5.76,mag,133.8,pc,,,,
2004A&A...418L..31M,,,5.60 ± 0.04,mag,132 ± 2,pc,0.00 ± 0.03,dex,,
2003A&A...400..891M,120,Myr,5.53,mag,125,pc,,,,
2003AJ....126..833S,600,Myr,5.53,mag,,,,,,
1999ApJ...523..328N,,,5.58,mag,130.7,pc,,,,
1998ApJ...499L.199S,125,Myr,5.6,mag,130,pc,,,,
SRC_DB_MWSC,8.1499996185302734,log(yr),5.5760002136230469,mag,130,pc,"-0.035999999999999997",log(Sun),,
