source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2012A&A...546A..12V,SN*,SN 2011fe,peak_absolute_magnitude,"-19.218 ± 0.032",mag,6,"[769, 616, 793, 637]",doc7_p6,vlm_text,0.95,calibration,scope: global;metric: peak_absolute_magnitude,"where we have adopted M_B = -19.218 ± 0.032, a = 1.295 ± 0.112 and b = 3.181 ± 0.131 (G10).",
2012A&A...546A..12V,SN*,SN 2011fe,peak_absolute_magnitude,"-19.157 ± 0.025",mag,6,"[618, 702, 642, 722]",doc7_p6,vlm_text,0.95,calibration,scope: global;metric: peak_absolute_magnitude,"where M_0 = -19.157 ± 0.025, α = 0.121 ± 0.027 and β = 2.63 ± 0.22 have been adopted from K09.",
2012ApJ...754...19M,SN*,SN 2011fe,peak_absolute_magnitude,10.51 ± 0.04,mag,2,"[578, 784, 711, 801]",doc12_p2,vlm_text,0.95,template fitting,scope: global;metric: peak_absolute_magnitude,"From the Wood-Vasey et al. (2008) templates we can derive the maximum in each passband... we find J_max = 10.51 ± 0.04 mag, H_max = 10.75 ± 0.04 mag, and K_s_max = 10.64 ± 0.05 mag.",
2012ApJ...754...19M,SN*,SN 2011fe,peak_absolute_magnitude,10.75 ± 0.04,mag,2,"[784, 784, 917, 801]",doc12_p2,vlm_text,0.95,template fitting,scope: global;metric: peak_absolute_magnitude,"From the Wood-Vasey et al. (2008) templates we can derive the maximum in each passband... we find J_max = 10.51 ± 0.04 mag, H_max = 10.75 ± 0.04 mag, and K_s_max = 10.64 ± 0.05 mag.",
2012ApJ...754...19M,SN*,SN 2011fe,peak_absolute_magnitude,10.64 ± 0.05,mag,2,"[617, 797, 747, 815]",doc12_p2,vlm_text,0.95,template fitting,scope: global;metric: peak_absolute_magnitude,"From the Wood-Vasey et al. (2008) templates we can derive the maximum in each passband... we find J_max = 10.51 ± 0.04 mag, H_max = 10.75 ± 0.04 mag, and K_s_max = 10.64 ± 0.05 mag.",
2012ApJ...760L..14L,SN*,SN 2011fe,peak_absolute_magnitude,"-19.41 ± 0.13",mag,7,"[767, 137, 793, 157]",doc15_p7,vlm_text,0.98,TRGB distance derivation,scope: global;metric: peak_absolute_magnitude,"~0.2 mag brighter than those in Richmond & Smith (2012): M_{B,max} = -19.41 ± 0.13, M_{V,max} = -19.39 ± 0.13, and M_{R,max} = -19.38 ± 0.13, and M_{I,max} = -19.14 ± 0.13.",
2012ApJ...760L..14L,SN*,SN 2011fe,peak_absolute_magnitude,"-19.39 ± 0.13",mag,7,"[223, 157, 249, 177]",doc15_p7,vlm_text,0.98,TRGB distance derivation,scope: global;metric: peak_absolute_magnitude,"~0.2 mag brighter than those in Richmond & Smith (2012): M_{B,max} = -19.41 ± 0.13, M_{V,max} = -19.39 ± 0.13, and M_{R,max} = -19.38 ± 0.13, and M_{I,max} = -19.14 ± 0.13.",
2012ApJ...760L..14L,SN*,SN 2011fe,peak_absolute_magnitude,"-19.38 ± 0.13",mag,7,"[497, 157, 523, 177]",doc15_p7,vlm_text,0.98,TRGB distance derivation,scope: global;metric: peak_absolute_magnitude,"~0.2 mag brighter than those in Richmond & Smith (2012): M_{B,max} = -19.41 ± 0.13, M_{V,max} = -19.39 ± 0.13, and M_{R,max} = -19.38 ± 0.13, and M_{I,max} = -19.14 ± 0.13.",
2012ApJ...760L..14L,SN*,SN 2011fe,peak_absolute_magnitude,"-19.14 ± 0.13",mag,7,"[767, 157, 793, 177]",doc15_p7,vlm_text,0.98,TRGB distance derivation,scope: global;metric: peak_absolute_magnitude,"~0.2 mag brighter than those in Richmond & Smith (2012): M_{B,max} = -19.41 ± 0.13, M_{V,max} = -19.39 ± 0.13, and M_{R,max} = -19.38 ± 0.13, and M_{I,max} = -19.14 ± 0.13.",
2012ApJ...760L..14L,SN*,SN 2011fe,peak_absolute_magnitude,"-18.79 ± 0.14",mag,7,"[327, 604, 339, 624]",doc15_p7,vlm_text,0.98,TRGB distance derivation,scope: global;metric: peak_absolute_magnitude,"From these values with our distance estimate we derive the NIR absolute magnitudes for SN 2011fe: M_{J,max} = -18.79 ± 0.14, M_{H,max} = -18.55 ± 0.14, and M_{K_s,max} = -18.66 ± 0.13",
