source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1999ApJ...523..328N,OpC,M45,dist_modulus,5.58,mag,1,"[443, 480, 483, 500]",doc7_p1,vlm_text,0.98,radial-velocity gradient method,scope: global;metric: dist_modulus,We derive a distance modulus to the Pleiades of 5.58 ± 0.18 mag from the gradient in the radial velocities of the Pleiades members in the direction parallel to the proper motion of the cluster.,
1999ApJ...523..328N,OpC,M45,dist_modulus,5.58,mag,13,"[436, 837, 477, 857]",doc7_p13,vlm_text,0.98,radial-velocity gradient method,scope: global;metric: dist_modulus,The distance to the Pleiades from the radial-velocity gradient method corresponds to a distance modulus of (m - M) = 5.58 ± 0.18 mag. This value agrees very well with the 'classical' estimates of the ,
1999ApJ...523..328N,OpC,M45,dist_modulus,5.58,mag,28,"[732, 549, 772, 569]",doc7_p28,vlm_text,0.98,radial-velocity gradient method,scope: global;metric: dist_modulus,(1): We have derived a distance modulus to the Pleiades of (m - M) = 5.58 ± 0.18 mag using a variant of the moving cluster method - the gradient in the radial velocity of the cluster members in the di,
1999ApJ...523..328N,OpC,M45,distance,130.7,pc,13,"[642, 247, 692, 267]",doc7_p13,vlm_text,0.98,radial-velocity gradient method,scope: global;metric: distance,"We adopt as Pleiades members all the 141 of the 154 candidate stars that remain after the last iteration and derive a distance to the Pleiades of d = 130.7 ± 11.1 pc, a velocity dispersion of σ_clus =",
2001AJ....121.2053A,OpC,M45,cluster_age,120,Myr,3,"[240, 325, 314, 343]",doc2_p3,vlm_text,0.95,lithium absorption,scope: global;metric: cluster_age,"Observations of lithium absorption in brown dwarfs has lead to a precise age measurement for the Pleiades of 120 Myr (Stauffer, Schultz, & Kirkpatrick 1998)",
2001AJ....121.2053A,OpC,M45,dist_modulus,5.5,mag,8,"[795, 292, 825, 311]",doc2_p8,vlm_text,0.95,photometric distance modulus,scope: global;metric: distance_modulus,"Adjustment of apparent magnitudes, using a distance modulus of 5.5 (Lyngå 1987), yielded absolute magnitudes.",
2004A&A...418L..31M,OpC,M45,dist_modulus,5.60,mag,1,"[646, 428, 679, 445]",doc22_p1,vlm_text,0.95,main sequence fitting,scope: global;metric: distance_modulus,This closely confirms the distance modulus obtained by classical main sequence fitting methods (m - M=5.60 or 132 pc)...,
2004A&A...418L..31M,OpC,M45,distance,132,pc,1,"[615, 415, 644, 431]",doc22_p1,vlm_text,0.98,orbital solution of eclipsing binary,scope: global;metric: distance,The resulting distance to the binary and therefore to the cluster is 132±2 pc. This closely confirms the distance modulus obtained by classical main sequence fitting methods...,
2004A&A...418L..31M,OpC,M45,fe_h,,dex,1,"[733, 691, 769, 709]",doc22_p1,vlm_text,0.95,spectroscopic measurement,scope: global;metric: metallicity,"the metallicity of the Pleiades has been measured several times and with different methods, which generally converged to a mean value of [Fe/H]=0.00±0.03 (e.g. Stauffer et al. 2003).",
2005A&A...429..645S,OpC,M45,cluster_age,125,Myr,7,"[391, 364, 453, 386]",doc19_p7,vlm_text,0.95,isochrone fitting,scope: global;metric: cluster_age,"An age of 125 Myr has been adopted (Stauffer, Schultz & Kirkpatrick 1998); a change in this age by -25 or +75 Myr does not affect the conclusions below.",
2005A&A...429..645S,OpC,M45,distance,132,pc,1,"[276, 708, 308, 730]",doc19_p1,vlm_text,0.95,main sequence fitting,scope: global;metric: distance,"The 'long' distance scale of 132 ± 3 pc was established by main sequence fitting analyses (e.g., Johnson 1957; Meynet, Mermilliod & Maeder 1993).",
2005A&A...429..645S,OpC,M45,distance,120,pc,1,"[691, 594, 722, 616]",doc19_p1,vlm_text,0.95,trigonometrical parallaxes,scope: global;metric: distance,A 'short' distance scale of 120 ± 3 pc (van Leeuwen 2004) has been found using trigonometrical parallaxes observed by the Hipparcos space satellite (Perryman et al. 1997).,
2005A&A...429..645S,OpC,M45,distance,120,pc,10,"[65, 54, 906, 697]",doc19_p10,vlm_table,0.95,parallax,scope: global;metric: distance,Table 8. Summary of the different distances found for the Pleiades or for Pleiades members... Hipparcos parallaxes (van Leeuwen 2004) 120 ± 3,
2005A&A...429..645S,OpC,M45,distance,132.4,pc,10,"[65, 54, 906, 697]",doc19_p10,vlm_table,0.95,main sequence fitting,scope: global;metric: distance,Table 8. Summary of the different distances found for the Pleiades or for Pleiades members... MS fitting (Stello & Nissen 2001) 132.4 ± 1.8,
2005A&A...429..645S,OpC,M45,distance,130.9,pc,10,"[65, 54, 906, 697]",doc19_p10,vlm_table,0.95,parallax,scope: global;metric: distance,Table 8. Summary of the different distances found for the Pleiades or for Pleiades members... Ground-based parallaxes 130.9 ± 7.4,
2005A&A...429..645S,OpC,M45,distance,134.6,pc,10,"[65, 54, 906, 697]",doc19_p10,vlm_table,0.95,parallax,scope: global;metric: distance,Table 8. Summary of the different distances found for the Pleiades or for Pleiades members... HST parallaxes of three Pleiades stars 134.6 ± 3.1,
2005A&A...429..645S,OpC,M45,distance,131,pc,10,"[65, 54, 906, 697]",doc19_p10,vlm_table,0.95,moving cluster method,scope: global;metric: distance,Table 8. Summary of the different distances found for the Pleiades or for Pleiades members... Narayanan & Gould (1999) 131 ± 11,
2005A&A...429..645S,OpC,M45,distance,129,pc,10,"[65, 54, 906, 697]",doc19_p10,vlm_table,0.95,parallax,scope: global;metric: distance,Table 8. Summary of the different distances found for the Pleiades or for Pleiades members... Makarov (2002) 129 ± 3,
2005A&A...429..645S,OpC,M45,fe_h,"-0.034",dex,1,"[848, 838, 862, 859]",doc19_p1,vlm_text,0.95,high-resolution spectra,scope: global;metric: fe_h,"Also, Boesgaard & Friel (1990) have measured the iron abundance of the Pleiades to be approximately solar ([Fe/H] = -0.034 ± 0.024) from high-resolution spectra of twelve F dwarfs in the cluster",
2005A&A...429..887P,OpC,M45,cluster_age,100,Myr,7,"[773, 298, 804, 316]",doc15_p7,vlm_text,0.9,isochrone fitting,scope: global;metric: cluster_age,"The Pleiades is known to be anomalous in several respects - we know it is very young (~ 100 Myr) and has fast rotating stars, which may be affecting the (B-V) colours, whilst the field stars have unkn",
2005A&A...429..887P,OpC,M45,dist_modulus,5.37,mag,7,"[65, 205, 906, 843]",doc15_p7,vlm_table,0.95,parallax,scope: global;metric: distance_modulus,Table 1. Summary of MS-fitting results for the Pleiades. ... Hipparcos result (van Leeuwen 1999) 5.37 ± 0.07,
