source_id,cluster_age,cluster_age_unit,dist_modulus,dist_modulus_unit,distance,distance_unit,fe_h,fe_h_unit,parallax,parallax_unit
2025ApJ...994..111B,,,,,120,pc,,,,
2025A&A...698A...7F,118,Myr,,,,,"-0.03",dex,,
2024AstL...50..780K,125.0,million years,,,135,pc,"-0.01",dex,,
2024MNRAS.534.3005G,112,Myr,,,135.15,pc,0.03,dex,,
2023A&A...677A.162B,120 ± 20,Myr,,,,,"+0.18 (+0.29, -0.15)",dex,,
2022MNRAS.511.5718M,,,,,136,pc,0.03,dex,,
2022RMxAA..58..315M,,,,,,,,,8.6,mas
2019A&A...628A..66L,132.0,Myr,,,135.15,pc,,,7.34,mas
2018ApJ...863...67G,112,Myr,5.64,mag,,,0.03,dex,,
2018MNRAS.475..139Z,120,Myr,,,133.5,pc,,,,
2018MNRAS.473.4612K,,,,,,,,,7.48,mas
2018Ap&SS.363...58E,,,5.48,mag,124.5,pc,,,7.45,mas
2018A&A...613A..63B,125,Myr,,,,,,,,
2017A&A...598A..48G,,,,,134.4,pc,,,7.44,mas
2017PASJ...69....1T,125.0,Myr,,,136.2,pc,,,,
2016A&A...595A..59M,,,,,134.8,pc,,,7.42,mas
2013IAUS..289...60M,,,5.65 ± 0.05,mag,134.6 ± 3.1,pc,,,7.43 ± 0.17,mas
2009AJ....138.1292S,,,,,,,0.03,dex,,
2008A&A...483..567G,100,Myr,,,,,,,,
2006A&A...446..611F,75-100,Myr,5.6,mag,130,pc,"-0.14 to +0.13",dex,,
2005AJ....129.1616S,,,5.60 ± 0.04,mag,131.9 ± 2.4,pc,,,7.58 ± 0.14,mas
2005A&A...429..645S,125,Myr,,,129,pc,"-0.034",dex,,
2005A&A...429..887P,100,Myr,5.37,mag,133.8,pc,"-0.03",dex,,
2004A&A...418L..31M,,,5.60,mag,132,pc,0.0,dex,,
2001AJ....121.2053A,120,Myr,5.5,mag,,,,,,
2001MNRAS.321..699K,,,,,,,,,,
1999ApJ...523..328N,,,5.58,mag,130.7,pc,,,,
SRC_DB_MWSC,8.1499996185302734,log(yr),5.5760002136230469,mag,130,pc,"-0.035999999999999997",log(Sun),,
