source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2001AJ....121..476A,cC*,delta Cephei,distance,254 ± 30,pc,10,"[224, 489, 319, 508]",doc8_p10,vlm_text,0.98,angular diameter and P-R relation,scope: global;metric: distance,"Such a mean radius, combined with our mean angular diameter of 1.52 ± 0.014 mas, yields a distance D of 254 ± 30 pc, a distance modulus (m − M) of 7.02 ± 0.26, and an absolute magnitude ⟨M_V⟩ = −3.38 ",
2001AJ....121..476A,cC*,delta Cephei,parallax,3.32 ± 0.58,mas,1,"[758, 730, 885, 749]",doc8_p1,vlm_text,0.98,trigonometric parallax,scope: global;metric: parallax,Trigonometric parallax uncertainties for even the nearest Cepheids are large: the Hipparcos parallaxes π_Hip are 3.32 ± 0.58 mas for δ Cep and 2.78 ± 0.91 mas for η Aql (ESA 1997).,
2001AJ....121..476A,cC*,delta Cephei,pulsation_period,5.366316,d,2,"[356, 399, 448, 418]",doc8_p2,vlm_text,0.98,literature,scope: global;metric: pulsation_period,We report here on measurements of δ Cep (P = 5.366316 d; Moffett & Barnes 1985) and η Aql (P = 7.176726 d; Szabados 1991) with the Navy Prototype Optical Interferometer (NPOI).,
2002AJ....123.3380N,cC*,delta Cephei,distance,278+48−36,pc,13,"[642, 612, 677, 632]",doc21_p13,vlm_text,0.95,trigonometric parallax,scope: global;metric: distance,The trigonometric parallax distance of δ Cephei as calculated from the Hipparcos parallax and USNO parallax is 278+48−36 pc (Nordgren et al. 2000) which is consistent with both.,
2002AJ....123.3380N,cC*,delta Cephei,distance,272 ± 6,pc,22,"[362, 323, 637, 711]",doc21_p22,vlm_table,0.95,surface brightness relation (Barnes-Evans),scope: global;metric: distance,Table 2. Distances to δ Cephei ... Mean 272 ± 6,
2002AJ....123.3380N,cC*,delta Cephei,distance,262 ± 5,pc,22,"[362, 323, 637, 711]",doc21_p22,vlm_table,0.95,surface brightness relation (Fouqué & Gieren 1997),scope: global;metric: distance,Table 2. Distances to δ Cephei ... Mean ... 262 ± 5,
2002AJ....124.1695B,cC*,delta Cephei,parallax,3.66 ± 0.15,mas,10,"[506, 565, 542, 583]",doc7_p10,vlm_text,0.99,astrometry,scope: global;metric: parallax,"We obtain for delta Cep an absolute parallax, pi_abs = 3.66 ± 0.15 mas, and for DC-2, pi_abs = 3.65 ± 0.15.",
2002AJ....124.1695B,cC*,delta Cephei,parallax,3.66 ± 0.15,mas,26,"[119, 283, 888, 770]",doc7_p26,vlm_table,0.99,astrometry,scope: global;metric: parallax,Table 8. Final delta Cep and HD 213307 (DC-2) Absolute Parallax and Relative Proper Motion Compared to Previous Results ... HST Absolute Parallax ... 3.66 ± 0.15,
2002AJ....124.1695B,cC*,delta Cephei,pulsation_period,5.366316,d,7,"[114, 515, 197, 533]",doc7_p7,vlm_text,0.99,photometry,scope: global;metric: pulsation_period,"a phase (based on P = 5.366316 days), and a B-V estimated by comparison with the UBV photometry of Barnes et al. (1997).",
2005astro.ph..6695A,cC*,delta Cephei,distance,274 ± 11,pc,3,"[433, 673, 464, 694]",doc18_p3,vlm_text,0.98,trigonometric parallax,scope: global;metric: distance,"Assuming a distance of 274 ± 11 pc (Benedict et al. 2002), this leads to a linear radius of 43.3 ± 1.7 solar radii.",
2005astro.ph..6695A,cC*,delta Cephei,pulsation_period,5.366316,d,2,"[144, 854, 159, 876]",doc18_p2,vlm_text,0.98,text,scope: global;metric: pulsation_period,"The pulsation phase was computed using the following period and reference epoch (Moffett & Barnes 1985): P = 5.366316 d, T0 = 2 453 674.144 (Julian date)",
2007AJ....133.1810B,cC*,delta Cephei,pulsation_period,5.36627,d,13,"[230, 90, 760, 292]",doc16_p13,vlm_table,0.99,photometry,scope: global;metric: pulsation_period,TABLE 2 TARGET CEPHEID APPARENT PROPERTIES ... $δ$ Cep 5.36627 0.7297 3.960 3.204 2.310 0.657 0.092 0.23 0.03,
2008ApJ...674L..93N,cC*,delta Cephei,distance,273,pc,3,"[324, 217, 360, 237]",doc14_p3,vlm_text,0.95,parallax,scope: global;metric: distance,"We selected this object because accurate measurements of light, radius, velocity curves, and of the p-factor are available and its geometric distance is known with an accuracy of 4% (273+11-12 Benedic",
2008ApJ...674L..93N,cC*,delta Cephei,distance,274,pc,11,"[198, 165, 801, 301]",doc14_p11,vlm_table,0.95,parallax,scope: global;metric: distance,Table 1. Direct and derived observables of delta Cephei. ... mu^a ... 274 ± 11,
2008ApJ...674L..93N,cC*,delta Cephei,pulsation_period,5.3663,d,4,"[343, 257, 420, 277]",doc14_p4,vlm_text,0.98,observation,scope: global;metric: pulsation_period,"We selected the fundamental models with periods within 2% of the observed period (P=5.3663 days, Fernie 1995) and pulsationally unstable according to the analytical relations for the instability strip",
2010ApJ...725.2392M,cC*,delta Cephei,distance,0.273±0.011,kpc,3,"[737, 397, 787, 417]",doc25_p3,vlm_text,0.98,parallax,scope: global;metric: distance,"With a distance of 0.273±0.011 kpc (Benedict et al. 2002) and a fundamental mode period of 5.37 d, δ Cephei is the second nearest Cepheid to the Solar System",
2010ApJ...725.2392M,cC*,delta Cephei,pulsation_period,5.37,d,3,"[615, 417, 675, 437]",doc25_p3,vlm_text,0.98,text,scope: global;metric: pulsation_period,"With a distance of 0.273±0.011 kpc (Benedict et al. 2002) and a fundamental mode period of 5.37 d, δ Cephei is the second nearest Cepheid to the Solar System",
2012ApJ...744...53M,cC*,delta Cephei,distance,273,pc,5,"[257, 246, 742, 771]",doc24_p5,vlm_table,0.99,parallax,scope: global;metric: distance,Table 1. Coordinates and Stellar Properties of δ Cephei ... Distance (pc) 273±0.011,
2012ApJ...744...53M,cC*,delta Cephei,pulsation_period,5.366341,d,5,"[257, 246, 742, 771]",doc24_p5,vlm_table,0.99,observation,scope: global;metric: pulsation_period,Table 1. Coordinates and Stellar Properties of δ Cephei ... Pulsation period (days) 5.366341,
2012ApJ...747..145M,cC*,delta Cephei,distance,272 ± 3(sigma_x) ± 5(sigma),pc,1,"[513, 332, 544, 349]",doc5_p1,vlm_text,0.98,astrometric,scope: global;metric: distance,"The following fundamental parameters were inferred for delta Cep: E(B-V) = 0.073 ± 0.018(sigma), log tau = 7.9 ± 0.1, and d = 272 ± 3(sigma_x) ± 5(sigma) pc.",
