source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1995ApJ...450..486B,BLL,3C 273,abs_mag,"-25.7",mag,6,"[0, 0, 1000, 1000]",doc17_p6,vlm_table,0.98,photometry,scope: global;metric: abs_mag,Table 1: Sample of Completed Cycle 4 Quasars and Detectable Hosts ... 3C 273 ... -25.7,
1998MNRAS.294L...7H,BLL,3C 273,abs_mag,"-26.7",mag,1,"[857, 357, 892, 375]",doc15_p1,vlm_text,0.95,photometry,scope: global;metric: abs_mag,"The rest frame absolute UV magnitude, M_U(1450A), is -26.7 similar to that of the archetypal radio-selected quasar 3C273 (z = 0.158; M_U(1450A) = -26.4).",
1998MNRAS.294L...7H,BLL,3C 273,abs_mag,"-26.4",mag,3,"[833, 694, 866, 710]",doc15_p3,vlm_text,0.95,photometry,scope: global;metric: abs_mag,"For comparison, from HST observations of the archetypal radio-selected quasar 3C273 (z = 0.158) (Bahcall et al 1991) we find the continuum luminosity to be M_U(1450) = -26.4.",
2000ApJ...544L..95Y,BLL,3C 273,redshift,0.158,,2,"[591, 242, 642, 262]",doc11_p2,vlm_text,0.99,spectroscopy,scope: global;metric: redshift,"The Fe Kα line, an important physical diagnostic in the X-ray spectra of active galaxies (AGNs) and quasars, has been notoriously difficult to measure in the high-luminosity, radio-loud quasar 3C 273 ",
2000ApJ...544L..95Y,BLL,3C 273,redshift,0.158,,3,"[801, 572, 852, 592]",doc11_p3,vlm_text,0.99,spectroscopy,scope: global;metric: redshift,"The bright, high-luminosity (L(2 − 10 keV) ∼ 0.8 − 2 × 10^46 erg s^−1; H0 = 50 km s^−1 Mpc^−1 and q0 = 0 throughout) radio-loud quasar 3C 273 (z = 0.158) has been extensively studied in all wavebands",
2000ApJ...544L..95Y,BLL,3C 273,redshift,0.158,,12,"[126, 168, 963, 903]",doc11_p12,vlm_table,0.99,spectroscopy,scope: global;metric: redshift,"The emission line parameters are all referred to the quasar frame (z = 0.158); these are the intrinsic width, σFe, the center energy, Ec, the intensity",
2000ApJ...544L..95Y,BLL,3C 273,redshift,0.158,,13,"[142, 190, 765, 843]",doc11_p13,vlm_table,0.99,spectroscopy,scope: global;metric: redshift,The line intensity (ID) and equivalent width (EW) are both referred to the quasar frame (z = 0.158). Errors are 90% confidence for one interesting parameter,
2003ApJ...586L..49F,BLL,3C 273,redshift,0.158,dimensionless,2,"[529, 817, 580, 837]",doc1_p2,vlm_text,0.99,spectroscopy,scope: global;metric: redshift,"3C 273 (l = 289.95°, b = 64.36°, z_QSO = 0.158) is one of the brightest quasars in the sky at X-ray wavelengths...",
2004MNRAS.349...57P,BLL,3C 273,redshift,0.158,dimensionless,1,"[417, 711, 458, 727]",doc4_p1,vlm_text,0.99,spectroscopy,scope: global;metric: redshift,"the radio source was identified with a magnitude 13, star-like object by Hazard, Mackey & Shimmins (1963) and the redshift measured by Schmidt (1963) to be z = 0.158.",
2006ASPC..360...41G,BLL,3C 273,abs_mag,"-26.6",mag,2,"[453, 511, 477, 530]",doc2_p2,vlm_text,0.98,photometry,scope: global;metric: abs_mag,"3C 273 (z = 0.158, M_V = -26.6), is the brightest, nearest, and best-known, radio-loud quasar.",
2010MNRAS.405.1736W,BLL,3C 273,redshift,0.117,,2,"[779, 613, 819, 629]",doc16_p2,vlm_text,0.98,spectroscopic,scope: global;metric: redshift,"Rosenberg et al. (2003) compared Virgo metal systems toward RXJ1230.8+0115, which is the nearest bright low redshift QSO (z = 0.117, 55 arcmin away)...",
2014ApJ...785L..24F,BLL,3C 273,redshift,0.158,,2,"[785, 597, 828, 614]",doc3_p2,vlm_text,0.98,text,scope: global;metric: redshift,"As a calibration source, 3C 273 (z = 0.158, l = 289.95°, b = 64.36°) has been observed many times with Chandra and XMM-Newton.",
2019ApJ...879...75H,BLL,3C 273,redshift,0.158,,1,"[268, 444, 312, 462]",doc14_p1,vlm_text,0.99,spectroscopy,scope: global;metric: redshift,We present an unprecedented view on the morphology and kinematics of the extended narrow-line region (ENLR) and molecular gas around the prototypical hyper-luminous quasar 3C 273 (L_bol ~ 10^47 erg s^,
2019ApJ...880..155L,BLL,3C 273,redshift,0.158,,8,"[676, 688, 723, 707]",doc7_p8,vlm_text,0.98,literature reference,scope: global;metric: redshift,"The values of z and δ are 0.158 and 16.8 for 3C 273 (Savolainen et al 2010), respectively, and D ≲ 6.27 × 10^14 cm.",
2020A&A...634A.106A,BLL,3C 273,redshift,0.158,,1,"[0, 0, 1000, 1000]",doc13_p1,vlm_text,0.98,literature,scope: global;metric: redshift,"In this study, we investigate the sight-line towards the quasar 3C 273 (z ≈ 0.158, Schmidt 1963), also included in the Yao et al. (2009) sample.",
