source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1997ApJ...477L..95Z,HXB,Cyg X-1,compact_object_mass,16,Msun,3,"[242, 494, 268, 514]",doc24_p3,vlm_text,0.95,dynamical mass estimate,scope: global;metric: compact_object_mass,"...concluded that the mass of the compact object in Cyg X-1 is greater than 7 M_sun, but more probably 16 M_sun, far exceeding the theoretical...",
1998MNRAS.301..285L,HXB,Cyg X-1,orbital_period,5.5998,d,1,"[790, 358, 842, 375]",doc23_p1,vlm_text,0.98,radial velocity,scope: global;metric: orbital_period,"we have derived a new ephemeris for the system of HJD2450235.29 + P x 5.5998, which allows accurate orbital phase calculations to be made for any X-ray observations over the last 30 years.",
1998MNRAS.301..285L,HXB,Cyg X-1,orbital_period,5.5998 ± 0.0001,d,2,"[536, 356, 561, 372]",doc23_p2,vlm_text,0.98,radial velocity,scope: global;metric: orbital_period,"The results are summarized in Table 2 and plotted in figure 2. The best fixed period is 5.5998 ± 0.0001 days, with a χ² of 4284",
1998MNRAS.301..285L,HXB,Cyg X-1,orbital_period,5.5998(1),d,4,"[65, 633, 496, 859]",doc23_p4,vlm_table,0.98,radial velocity,scope: global;metric: orbital_period,Table 2. Orbital Solutions for HDE226868. Fixed Period Model P0 (days) 5.5998(1),
1999A&A...343..861B,HXB,Cyg X-1,orbital_period,5.599829 ± 0.000016,d,1,"[391, 410, 414, 427]",doc15_p1,vlm_text,0.99,radial velocity spectroscopy,scope: global;metric: orbital_period,"We initially calculate an orbital period of 5.599847±0.000018 days and then, by including the more recent radial velocities of LaSala et al. (1998) and Sowers et al.(1998) we refine this to 5.599829 ±",
1999A&A...343..861B,HXB,Cyg X-1,orbital_period,5.599836 ± 0.000024,d,1,"[279, 443, 347, 460]",doc15_p1,vlm_text,0.99,photometry,scope: global;metric: orbital_period,"Using 27 years' worth of photometry, we also calculate a photometric period of 5.599836 ± 0.000024 — remarkably similar to the spectroscopic one.",
1999A&A...343..861B,HXB,Cyg X-1,orbital_period,5.599829 ± 0.000016,d,2,"[136, 842, 204, 860]",doc15_p2,vlm_text,0.99,radial velocity spectroscopy,scope: global;metric: orbital_period,"We calculate the orbital period to be P_{orb,sp} = 5.599829 ± 0.000016 and define T_0 as the time of superior conjunction of the black hole.",
1999A&A...343..861B,HXB,Cyg X-1,orbital_period,5.599836 ± 0.000024,d,2,"[684, 760, 705, 777]",doc15_p2,vlm_text,0.99,photometry,scope: global;metric: orbital_period,"The mean for the three filters, P_{orb,phot} = 5.599836 ± 0.000024 days, is in remarkable agreement with the spectroscopic period.",
1999A&A...343..861B,HXB,Cyg X-1,orbital_period,5.599829,d,3,"[211, 857, 295, 875]",doc15_p3,vlm_text,0.99,combined spectroscopy and photometry,scope: global;metric: orbital_period,Our value of 5.599829 days for the orbital period also provides an accurate fit to 27 years' worth of photometry.,
1999A&A...343..861B,HXB,Cyg X-1,orbital_period,5.599829±0.000016,d,4,"[65, 634, 905, 961]",doc15_p4,vlm_table,0.99,spectroscopy,scope: global;metric: orbital_period,Table 3. The Orbital Elements of Cygnus X-1 | Element | Spectroscopic | Photometric | Period (days) | 5.599829±0.000016 | 5.599836±0.000037,
1999A&A...343..861B,HXB,Cyg X-1,orbital_period,5.599836±0.000037,d,4,"[65, 634, 905, 961]",doc15_p4,vlm_table,0.99,photometry,scope: global;metric: orbital_period,Table 3. The Orbital Elements of Cygnus X-1 | Element | Spectroscopic | Photometric | Period (days) | 5.599829±0.000016 | 5.599836±0.000037,
1999MNRAS.302L...1P,HXB,Cyg X-1,orbital_period,5.599847,d,2,"[53, 714, 189, 731]",doc30_p2,vlm_text,0.98,spectroscopic ephemeris,scope: global;metric: orbital_period,"In displaying the 5.6 period, we have used the spectroscopic ephemeris recently derived by A.E. Tarasov (Brocksopp et al. 1998): P = 5.599847 ± 0.000018",
1999MNRAS.309.1063B,HXB,Cyg X-1,orbital_period,5.6,d,1,"[399, 837, 437, 853]",doc25_p1,vlm_text,0.98,spectroscopic binary,scope: global;metric: orbital_period,It has been particularly interesting as it provided the first observational evidence for the existence of black holes when it was found to be a spectroscopic binary with an orbital period of 5.6 days.,
1999MNRAS.309.1063B,HXB,Cyg X-1,orbital_period,5.599829,d,6,"[162, 439, 180, 455]",doc25_p6,vlm_text,0.99,ephemeris,scope: global;metric: orbital_period,We use the ephemeris of Brocksopp et al. (1999) with P_orb=5.599829±0.000016 days.,
2006MNRAS.368.1025L,HXB,Cyg X-1,orbital_period,5.6,d,1,"[65, 797, 103, 813]",doc19_p1,vlm_text,0.98,spectroscopy,scope: global;metric: orbital_period,"Its orbital period is Porb = 5.6 d and the optical component, HDE 226868/V1357 Cygni...",
2007A&A...464..437B,HXB,Cyg X-1,orbital_period,5.6,days,2,"[841, 620, 905, 637]",doc28_p2,vlm_text,0.95,optical identification,scope: global;metric: orbital_period,"Hjellming & Wade (1971) identified Cyg X-1 with the optical star HDE 226868, which is an O9.7 Iab type massive star inside a binary system with a period of 5.6 days",
2007ApJ...663..445S,HXB,Cyg X-1,compact_object_mass,8.7 ± 0.8,M_sun,1,"[489, 748, 520, 768]",doc22_p1,vlm_text,0.98,QPO-spectral index correlation scaling,scope: global;metric: compact_object_mass,We obtain the BH mass in Cyg X-1 in the range (8.7 ± 0.8)M_sun.,
2007ApJ...663..445S,HXB,Cyg X-1,compact_object_mass,8.7 ± 0.8,M_sun,8,"[614, 835, 645, 855]",doc22_p8,vlm_text,0.98,QPO-spectral index correlation scaling,scope: global;metric: compact_object_mass,For the mass of BH in Cyg X-1 we have: M_CygX-1 = B_CygX-1 × M_J1655 / B_J1655 = (8.7 ± 0.8)M_sun,
2007ApJ...663..445S,HXB,Cyg X-1,compact_object_mass,8.7 ± 0.8,M_sun,9,"[372, 505, 403, 526]",doc22_p9,vlm_text,0.98,QPO-spectral index correlation scaling,scope: global;metric: compact_object_mass,Our scaling method along with the observed index-QPO correlation give for the BH mass in Cyg X-1 M_CygX-1 = (8.7 ± 0.8)M_sun,
2007ApJ...665L..51A,HXB,Cyg X-1,compact_object_mass,21,Msun,1,"[317, 779, 337, 797]",doc11_p1,vlm_text,0.98,dynamical mass estimation,scope: global;metric: compact_object_mass,"Located at a distance of 2.2 ± 0.2 kpc, it is composed of a 21 ± 8 M_sun BH turning around an O9.7 lab companion of 40 ± 10 M_sun",
