source_id,compact_object_mass,compact_object_mass_unit,orbital_period,orbital_period_unit
2026MNRAS.545f2232O,15^{+4}_{-4},Msun,,
2025A&A...696A.237F,21.2 ± 2.2,Msun,,
2025A&A...701A.115K,,,5.6,d
2024A&A...691A..78L,21.2,Msun,,
2024A&A...687A.284K,21.2,Msun,,
2023A&A...678A..58K,,,5.6,d
2017PASJ...69...52S,,,5.599829,d
2015A&A...584A..95P,14.8,Msun,,
2015A&A...576A.117G,14.8,Msun,,
2012MNRAS.419.3194R,,,5.6,d
2012ApJ...747..111W,14.81 ± 0.98,Msun,5.599829 ± 0.000016,d
2011ApJ...736...63R,12,Msun,,
2011ApJ...742...85G,14.8,Msun,,
2011ApJ...742...84O,14.81,Msun,,
2011MNRAS.412.1985Z,,,5.6,d
2010ApJ...710..197B,,,5.599829,d
2008Ap&SS.315..335I,,,5.599829,d
2008AJ....136..631Y,8.7,Msun,,
2007ApJ...663..445S,8.7 ± 0.8,M_sun,,
2007MNRAS.375..793S,,,5.6,d
2007ApJ...665L..51A,21,Msun,,
2007A&A...464..437B,,,5.6,days
2006MNRAS.368.1025L,,,5.6,d
1999A&A...343..861B,,,5.599836±0.000037,d
1999MNRAS.302L...1P,,,5.599847,d
1999MNRAS.309.1063B,,,5.599829,d
1998MNRAS.301..285L,,,5.5998(1),d
1997ApJ...477L..95Z,16,Msun,,
