source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2006ApJ...652..661R,PM*,Pollux,mass,1.86,Msun,3,"[600, 651, 635, 668]",doc20_p3,vlm_text,0.95,derived from color-magnitude diagram and evolutionary tracks,scope: global;metric: mass,The minimum companion mass derived from our orbital fit is 2.9 M_Jup assuming a stellar mass for Pollux of 1.86 M_sun.,
2009A&A...504..231A,PM*,Pollux,mass,2.31,Msun,5,"[65, 71, 924, 709]",doc24_p5,vlm_table,0.95,literature compilation,scope: global;metric: mass,Table 2. Physical parameters of Pollux from the literature ... Takeda 2008 ... Mass M_sun 2.31,
2009A&A...504..231A,PM*,Pollux,radius,8.8,Rsun,4,"[521, 833, 548, 851]",doc24_p4,vlm_text,0.98,interferometric angular diameter,scope: global;metric: radius,the radius of 8.8 ± 0.1 R_sun determined from the interferometric angular diameter of Nordgren et al. (2001) evaluated at the Hipparcos distance.,
2009A&A...504..231A,PM*,Pollux,teff,4904,K,5,"[65, 71, 924, 709]",doc24_p5,vlm_table,0.95,literature compilation,scope: global;metric: teff,Table 2. Physical parameters of Pollux from the literature ... Takeda 2008 ... Teff 4904,
2015A&A...574A..90A,PM*,Pollux,radius,9.3,Rsun,4,"[67, 66, 950, 703]",doc18_p4,vlm_table,0.98,Stefan-Boltzmann law,scope: global;metric: radius,Table 1. Properties of Red Giants Stars in the sample... 62509 Pollux 1.16 K0 III 4842 2.9 -0.07 1.64 9.3 2.8 590 5 DD,
2017A&A...599A..47O,PM*,Pollux,mass,1.91,Msun,2,"[58, 61, 942, 700]",doc12_p2,vlm_table,0.95,calculated,scope: global;metric: mass,Table 1. Basic stellar properties of Pollux (β Gem) ... Mass M* ... 1.91 ± 0.09 M_sun,
2021A&A...646A.130A,PM*,Pollux,mass,1.7,Msun,4,"[0, 689, 1000, 734]",doc23_p4,vlm_table,0.95,literature reference / evolutionary models,scope: global;metric: mass,Notes. Numbers from the 3 first references are used in Sect. 3 and Sect. 6. The quantity m2 sin i is given for a mass of Pollux of 1.7 M_sun as used in these 3 references.,
2021A&A...646A.130A,PM*,Pollux,radius,8.8,Rsun,5,"[466, 759, 493, 775]",doc23_p5,vlm_text,0.95,parallax and angular diameter,scope: global;metric: radius,"Taking into account the Prot of 660 d, i=50°, a radius of 8.8 R_sun (Nordgren et al. 2001 and Hipparcos parallax) and within the solid rotation hypothesis",
2021A&A...646A.130A,PM*,Pollux,spectral_type,K0III,,1,"[424, 687, 468, 704]",doc23_p1,vlm_text,0.98,spectral classification,scope: global;metric: spectral_type,"Pollux (β Geminorum, HD 62509) is a well-studied K0III giant neighbor of the Sun",
2021A&A...646A.130A,PM*,Pollux,teff,5000,K,2,"[58, 613, 113, 630]",doc23_p2,vlm_text,0.95,spectral line mask fitting,scope: global;metric: teff,"We used a solar abundance line mask calculated from ATLAS9 models (Kurucz 1993), for an effective temperature of 5000 K, log g = 3.0, and a microturbulence of 2.0 km s−1, which is consistent with the ",
2021A&A...646A.130A,PM*,Pollux,teff,5000,K,2,"[58, 613, 113, 630]",doc23_p2,vlm_text,0.95,spectral analysis,scope: global;metric: teff,"We used a solar abundance line mask calculated from ATLAS9 models (Kurucz 1993), for an effective temperature of 5000 K, log g = 3.0",
2026MNRAS.547ag413R,PM*,Pollux,mass,2.09,M_sun,7,"[67, 626, 866, 861]",doc22_p7,vlm_table,0.98,asteroseismology (pyMON),scope: global;metric: mass,Table 1. List of 13 RGs with v_max determined by pyMON. ... β Gem | 89.25 ± 3.57 | 4796.0 ± 10 | 8.92 ± 0.37 | 2.09 ± 0.26 | Baines et al. (2025) | Hatzes & Zechmeister (2007),
SRC_DB_HD,PM*,Pollux,spectral_type,K0,,,,,database_query,,,,,
SRC_DB_HIPPARCOS,PM*,Pollux,spectral_type,K0IIIvar,,,,,database_query,,,,,
SRC_DB_HR,PM*,Pollux,spectral_type,K0IIIb,,,,,database_query,,,,,
SRC_DB_TIC,PM*,Pollux,teff,4892.6,K,,,,database_query,,,,,
