source_id,orb_period,orb_period_unit,pl_mass,pl_mass_unit,pl_radius,pl_radius_unit
2026FrASS..1336938R,,,,,,
2024ApJ...963L...5X,,,,,,
2023ApJ...953..166X,,,0.69,M_J,,
2022MNRAS.517.1724D,,,0.73,M_J,,
2022A&A...664A..56S,,,,,1.38,R_jup
2020MNRAS.493.1292D,,,0.73,M_jup,1.529,R_jup
2020A&A...635A.206C,,,,,1.359,R_jup
2020AJ....159..225K,3.52,d,,,,
2020MNRAS.491.3435S,,,0.71,M_jup,,
2018ApJ...863L..11H,,,,,1.38,R_J
2018MNRAS.479.3115V,,,0.67,M_J,,
2017A&A...608A..75C,,,0.69,M_J,,
2017ApJ...844...94K,,,,,1.35,R_Jup
2016MNRAS.457.1666S,,,0.67,M_Jup,,
2014A&A...565A.105B,,,,,1.38,R_jup
2014ApJ...790...79R,3.3,day,,,,
2013ApJ...764..103R,,,,,100000000.0,m
2010OAJ.....3..167I,3.524746,d,,,,
2010ApJ...717.1291L,,,0.64,M_jup,,
2010Natur.465.1049S,,,0.64,M_jup,,
2008ApJ...682..586M,3.52474832,days,,,,
2008A&A...485..865L,,,,,1.29,R_jup
2007ApJ...671L..61B,,,,,,
2007ApJ...668L.171B,,,,,1.32,R_J
2007ApJ...655..564K,3.52474859,d,,,1.320 +0.024 -0.025,R_jup
2006ApJ...649.1043R,,,,,1.265,R_jup
2006NewA...11..490I,3.52474554,days,,,,
2005ApJ...624..372K,3.1,days,,,,
2005A&A...436..719I,,,,,1.35,R_jup
2005ApJ...629L..45C,3.5257,days,,,,
2005ApJ...632.1157W,,,0.657,M_Jup,,
2004ApJ...613L.153A,,,,,,
2003ApJ...594..545B,,,,,1.4,R_J
2003ApJ...588..545B,,,,,1.347,R_Jup
2003ApJ...592..555B,3.5247542,d,,,,
2003ApJ...596.1327S,3.5,d,,,,
