source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1999AJ....118.1086B,PM*,Proxima Centauri,parallax,768.7,mas,1,"[0, 407, 1000, 471]",doc15_p1,vlm_text,0.98,interferometric astrometry,scope: global;metric: parallax,We obtain absolute parallax values for Proxima Cen π_abs = 0''.7687 ± 0''.0003,
1999AJ....118.1086B,PM*,Proxima Centauri,parallax,768.7,mas,18,"[245, 372, 753, 666]",doc15_p18,vlm_table,0.98,interferometric astrometry,scope: global;metric: parallax,Table 7: HST Absolute Parallax for Proxima Cen: 768.7 ± 0.3 mas,
1999AJ....118.1086B,PM*,Proxima Centauri,pm_total,3.8517,arcsec/yr,18,"[245, 372, 753, 666]",doc15_p18,vlm_table,0.98,interferometric astrometry,scope: global;metric: pm_total,Table 7: HST Proper Motion for Proxima Cen: 3851.7 ± 0.1 mas y^-1,
2001ApJ...547L..49W,PM*,Proxima Centauri,distance,1.295,pc,3,"[282, 155, 355, 174]",doc8_p3,vlm_text,0.98,parallax,scope: global;metric: distance,"Proxima Cen is about 12,000 AU from α Cen, based on its 2.2° separation on the sky and its closer distance of 1.295 pc compared with 1.347 pc for α Cen (Perryman et al. 1997).",
2003PASA...20..257S,PM*,Proxima Centauri,distance,1.295,pc,4,"[654, 513, 717, 531]",doc7_p4,vlm_text,0.98,parallax,scope: global;metric: distance,The parallax measurement from Hipparcos gives a distance to Proxima Cen of 1.295 pc.,
2014AJ....148...91L,PM*,Proxima Centauri,distance,1.3,pc,11,"[108, 133, 850, 393]",doc14_p11,vlm_table,0.98,parallax,scope: global;metric: distance,Proxima Cen ... 1.30 ± 0.01,
2014AJ....148...91L,PM*,Proxima Centauri,parallax,768.13,mas,9,"[0, 0, 1000, 1000]",doc14_p9,vlm_table,0.98,astrometry,scope: global;metric: parallax,Proxima Cen ... 768.13 ± 1.04 ... 3850.8 ± 0.6 ... -262.4 ± 0.02,
2014AJ....148...91L,PM*,Proxima Centauri,pm_dec,"-0.2624",arcsec/yr,9,"[0, 0, 1000, 1000]",doc14_p9,vlm_table,0.98,astrometry,scope: global;metric: pm_dec,Proxima Cen ... -262.4 ± 0.02,
2014AJ....148...91L,PM*,Proxima Centauri,pm_ra,3.8508,arcsec/yr,9,"[92, 288, 880, 638]",doc14_p9,vlm_table,0.98,astrometry,scope: global;metric: pm_ra,Proxima Cen ... 3850.8 ± 0.6,
2014ApJ...782...89S,PM*,Proxima Centauri,parallax,771.64 ± 2.60,mas,2,"[804, 397, 864, 417]",doc10_p2,vlm_text,0.98,parallax,scope: global;metric: parallax,"Proxima Centauri (α Centauri C, V645 Cen, GJ 551; Hipparcos parallax 771.64 ± 2.60 mas) is the nearest known star...",
2014ApJ...782...89S,PM*,Proxima Centauri,pm_total,3.78526 ± 0.0026,arcsec/yr,2,"[333, 553, 492, 571]",doc10_p2,vlm_text,0.98,parallax,scope: global;metric: pm_total,"...and a proper motion of 3.78526 ± 0.0026 yr⁻¹ in position angle (PA) 281.461 ± 0.036, as measured by Hipparcos...",
2016Natur.536..437A,PM*,Proxima Centauri,distance,1.295,pc,2,"[310, 247, 353, 269]",doc12_p2,vlm_text,0.98,parallax,scope: global;metric: distance,"At a distance of 1.295 parsecs, the red-dwarf Proxima Centauri (α Centauri C, GL 551, HIP 70890, or simply Proxima) is the Sun's closest stellar neighbour...",
2017ApJ...850L...6A,PM*,Proxima Centauri,distance,1.3,pc,2,"[350, 338, 401, 356]",doc16_p2,vlm_text,0.98,parallax,scope: global;metric: distance,"Proxima Centauri, at a distance of 1.3 pc (van Leeuwen 2007), is the closest star to the Sun.",
2017ApJ...850L...6A,PM*,Proxima Centauri,parallax,768.13,mas,2,"[836, 814, 921, 831]",doc16_p2,vlm_text,0.98,parallax,scope: global;metric: parallax,...and a parallax of 768.13 mas (Lurie et al. 2014).,
2017ApJ...850L...6A,PM*,Proxima Centauri,pm_dec,0.76554,arcsec/yr,2,"[713, 873, 753, 886]",doc16_p2,vlm_text,0.98,astrometry,scope: global;metric: pm_dec,"...proper motions of -3775.75 and 765.54 mas yr^-1 (van Leeuwen et al. 2007) in R.A. and Dec, respectively...",
2017ApJ...850L...6A,PM*,Proxima Centauri,pm_ra,"-3.77575",arcsec/yr,2,"[103, 863, 163, 876]",doc16_p2,vlm_text,0.98,astrometry,scope: global;metric: pm_ra,"...proper motions of -3775.75 and 765.54 mas yr^-1 (van Leeuwen et al. 2007) in R.A. and Dec, respectively...",
2018MNRAS.480.2660B,PM*,Proxima Centauri,parallax,768.77,mas,23,"[82, 245, 917, 879]",doc13_p23,vlm_table,0.98,observation,scope: global;metric: parallax,Table 5. Observed parameters of the barycentre of the α Cen A+B close binary... and their companion Proxima Cen... Parallax 768.77 mas,
2018MNRAS.480.2660B,PM*,Proxima Centauri,pm_dec,0.7705,arcsec/yr,23,"[82, 245, 917, 879]",doc13_p23,vlm_table,0.98,observation,scope: global;metric: pm_dec,Table 5... Proxima Cen... μδ 770.5 mas/yr,
2018MNRAS.480.2660B,PM*,Proxima Centauri,pm_ra,"-3.7738",arcsec/yr,23,"[82, 245, 917, 879]",doc13_p23,vlm_table,0.98,observation,scope: global;metric: pm_ra,"Table 5... Proxima Cen... μα,* -3773.8 mas/yr",
2019MNRAS.487.1653B,PM*,Proxima Centauri,distance,1.3,pc,5,"[861, 611, 917, 626]",doc11_p5,vlm_text,0.98,trigonometric parallax,scope: global;metric: distance,"The excellent astrometry required for the proposed test would lead to a very precisely known downrange distance r based on trigonometric parallax. Given that r = 1.30 pc (Gaia Collaboration 2018), an ",
2025AJ....170...22L,PM*,Proxima Centauri,distance,1.301971,pc,4,"[103, 81, 897, 291]",doc17_p4,vlm_table,0.98,parallax,scope: global;metric: distance,Table 1. Target Star Properties ... Distance (pc) ... Proxima Centauri ... 1.301971(85),
2025AJ....170...22L,PM*,Proxima Centauri,parallax,768.066,mas,4,"[103, 81, 897, 291]",doc17_p4,vlm_table,0.98,parallax,scope: global;metric: parallax,Table 1. Target Star Properties ... Parallax ... Proxima Centauri ... 0''.768066(50),
2025AJ....170...22L,PM*,Proxima Centauri,pm_dec,0.769465,arcsec/yr,4,"[103, 81, 897, 291]",doc17_p4,vlm_table,0.98,astrometry,scope: global;metric: pm_dec,Table 1. Target Star Properties ... δ proper motion (mas/yr) ... Proxima Centauri ... 769.465(51),
2025AJ....170...22L,PM*,Proxima Centauri,pm_ra,"-3.781741",arcsec/yr,4,"[103, 81, 897, 291]",doc17_p4,vlm_table,0.98,astrometry,scope: global;metric: pm_ra,Table 1. Target Star Properties ... α proper motion (mas/yr) ... Proxima Centauri ... -3781.741(31),
2026A&A...706A.112L,PM*,Proxima Centauri,distance,1.3,pc,1,"[597, 733, 647, 749]",doc18_p1,vlm_text,0.95,parallax,scope: global;metric: distance,Proxima is a late-type M dwarf and the closest star to the Sun at ~1.3 pc.,
2026A&A...706A.112L,PM*,Proxima Centauri,parallax,0.2,mas,1,"[416, 373, 441, 388]",doc18_p1,vlm_text,0.95,astrometry,scope: global;metric: parallax,"We determine Proxima's position, proper motion, and parallax with uncertainties at the ~0.4-mas, 50-μas yr⁻¹, and 0.2-mas level, respectively",
2026A&A...706A.112L,PM*,Proxima Centauri,parallax,768.373,mas,6,"[58, 64, 941, 225]",doc18_p6,vlm_table,0.98,astrometry,scope: global;metric: parallax,Table 2. Fitted astrometric parameters for Proxima. ... ϖ [mas] ... Best-fit value 768.373 (+0.194/-0.162),
2026A&A...706A.112L,PM*,Proxima Centauri,pm_dec,0.769458,arcsec/yr,6,"[58, 64, 941, 225]",doc18_p6,vlm_table,0.98,astrometry,scope: global;metric: pm_dec,Table 2. Fitted astrometric parameters for Proxima. ... μ_δ [mas yr⁻¹] ... Best-fit value 769.458 (+0.048/-0.047),
2026A&A...706A.112L,PM*,Proxima Centauri,pm_ra,"-3.781761",arcsec/yr,6,"[58, 64, 941, 225]",doc18_p6,vlm_table,0.98,astrometry,scope: global;metric: pm_ra,Table 2. Fitted astrometric parameters for Proxima. ... μ_α cos δ [mas yr¹] ... Best-fit value -3781.761 (+0.045/-0.050),
SRC_DB_ALLWISE,PM*,Proxima Centauri,pm_dec,1279,mas/yr,,,,database_query,,,,,
SRC_DB_ALLWISE,PM*,Proxima Centauri,pm_ra,"-2944",mas/yr,,,,database_query,,,,,
SRC_DB_GAIA_DR2,PM*,Proxima Centauri,parallax,768.5004,mas,,,,database_query,,,,,
SRC_DB_GAIA_DR2,PM*,Proxima Centauri,pm_dec,769.766,mas/yr,,,,database_query,,,,,
SRC_DB_GAIA_DR2,PM*,Proxima Centauri,pm_ra,"-3781.306",mas/yr,,,,database_query,,,,,
SRC_DB_GAIA_DR3,PM*,Proxima Centauri,distance,1.3010999999999999,pc,,,,database_query,,,,,
SRC_DB_GAIA_DR3,PM*,Proxima Centauri,parallax,768.06650000000002,mas,,,,database_query,,,,,
SRC_DB_GAIA_DR3,PM*,Proxima Centauri,pm_dec,769.46500000000003,mas/yr,,,,database_query,,,,,
SRC_DB_GAIA_DR3,PM*,Proxima Centauri,pm_ra,"-3781.741",mas/yr,,,,database_query,,,,,
SRC_DB_GAIA_DR3,PM*,Proxima Centauri,pm_total,3859.2280000000001,mas/yr,,,,database_query,,,,,
SRC_DB_HIPPARCOS,PM*,Proxima Centauri,parallax,772.33001708984375,mas,,,,database_query,,,,,
SRC_DB_HIPPARCOS,PM*,Proxima Centauri,pm_dec,768.15999999999997,mas/yr,,,,database_query,,,,,
SRC_DB_HIPPARCOS,PM*,Proxima Centauri,pm_ra,"-3775.6399999999999",mas/yr,,,,database_query,,,,,
SRC_DB_TIC,PM*,Proxima Centauri,distance,1.3012,pc,,,,database_query,,,,,
SRC_DB_TIC,PM*,Proxima Centauri,distance,1.3012,pc,,,,database_query,,,,,
SRC_DB_TIC,PM*,Proxima Centauri,parallax,768.5,mas,,,,database_query,,,,,
SRC_DB_TIC,PM*,Proxima Centauri,parallax,768.5,mas,,,,database_query,,,,,
SRC_DB_TIC,PM*,Proxima Centauri,pm_dec,769.766,mas/yr,,,,database_query,,,,,
SRC_DB_TIC,PM*,Proxima Centauri,pm_dec,769.766,mas/yr,,,,database_query,,,,,
SRC_DB_TIC,PM*,Proxima Centauri,pm_ra,"-3781.31",mas/yr,,,,database_query,,,,,
SRC_DB_TIC,PM*,Proxima Centauri,pm_ra,"-3781.31",mas/yr,,,,database_query,,,,,
