source_id,stellar_mass,stellar_mass_unit,stellar_radius,stellar_radius_unit,teff,teff_unit
2026ApJ...998...50D,,,,,,
2025Galax..13...50D,11.5,Msun,,,,
2025ApJ...978...50M,,,796,Rsun,,
2024MNRAS.527L..88D,,,,,3690,K
2024A&A...685A.124J,,,,,,
2023NewA...9901962J,,,887,R_sun,,
2023A&A...675A..46C,15,Msun,,,,
2023MNRAS.526.2765S,11  12,Msun,1300,Rsun,3.544  0.025,log K
2022MNRAS.516..693N,14,Msun,,,,
2022ApJ...936...18D,,,,,,
2020ApJ...891L..37L,,,,,3600,K
2020ApJ...899...68D,,,,,,
2019A&A...628A.101H,,,900,Rsun,,
2018A&A...615A.116M,,,,,3750,K
2018A&A...609A..67K,,,1400,R_sun,,
2017MNRAS.465.2654W,,,,,3500,K
2017A&A...602L..10O,,,,,3690,K
2016A&A...591A.119A,,,,,3750,K
2016ApJ...819....7D,20,Msun,,,,
2016A&A...585A..28K,,,,,,
2016A&A...588A.130M,11.6,Msun,1000,Rsun,,
2015A&A...580A.101O,,,,,3690,K
2014A&A...572A..17M,,,897,Rsun,,
2012A&A...548A.113D,20,Msun,7.5 x 10^13,cm,3500,K
2011A&A...529A.163O,,,,,3690,K
2011ApJ...740...24R,,,950.0,Rsun,,
2011A&A...531A.117K,,,3.4,AU,,
2010A&A...515A..12C,,,832,Rsun,3490,K
2010A&A...516L...2A,,,,,3750,K
2009A&A...508..923H,,,,,3600 ± 66,K
2009AJ....137.3558S,17.5,Msun,,,,
2009A&A...504..115K,,,,,,
2007A&A...474..599P,,,,,3641,K
SRC_DB_TIC,,,,,3601.6,K
