source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1998A&A...332..204C,RG*,Arcturus,fe_h,"-0.62",dex,3,"[68, 59, 908, 262]",doc3_p3,vlm_table,0.98,spectroscopy,scope: global;metric: fe_h,Table 1. Observed Stars ... Arcturus ... [Fe/H] -0.62,
1998A&A...332..204C,RG*,Arcturus,teff,4330,K,3,"[68, 59, 908, 262]",doc3_p3,vlm_table,0.98,spectroscopy,scope: global;metric: teff,Table 1. Observed Stars ... Arcturus ... Teff 4330,
2008A&A...485..561L,RG*,Arcturus,teff,4295,K,1,"[403, 592, 439, 612]",doc9_p1,vlm_text,0.98,interferometry,scope: global;metric: teff,"A Rosseland diameter of 21.05 ± 0.21 was derived, corresponding to an effective temperature of Teff = 4295 ± 26 K.",
2008A&A...485..561L,RG*,Arcturus,teff,4295,K,6,"[701, 749, 741, 771]",doc9_p6,vlm_text,0.98,interferometry,scope: global;metric: teff,we can update their calculation of Arcturus' effective temperature to Teff = 4295 ± 26 K.,
2008AJ....135.1551K,RG*,Arcturus,fe_h,"-0.5",dex,3,"[290, 159, 361, 177]",doc11_p3,vlm_text,0.95,spectroscopy,scope: global;metric: fe_h,Although neither Arcturus (at [Fe/H]=-0.5 dex; F06) nor any of our 47 Tuc stars (at an expected [Fe/H] of approximately -0.7 dex according to previous estimates...,
2008AJ....135.1551K,RG*,Arcturus,teff,4290,K,3,"[431, 803, 485, 821]",doc11_p3,vlm_text,0.98,angular diameter and bolometric flux,scope: global;metric: teff,For the Arcturus Teff we adopted the value of 4290 K derived by F06 from the angular diameter of Perrin et al. (1998) and the bolometric flux reported by Griffin & Lynas-Gray (1999).,
2009A&A...504..543T,RG*,Arcturus,fe_h,"-0.5",dex,3,"[64, 67, 924, 710]",doc1_p3,vlm_table,0.99,spectroscopic analysis,scope: global;metric: fe_h,Table 3. Basic stellar parameters of Arcturus ... [Fe/H] -0.5 ± 0.1,
2009A&A...504..543T,RG*,Arcturus,parallax,88.85,mas,3,"[64, 67, 924, 710]",doc1_p3,vlm_table,0.99,Hipparcos data (ESA 1997),scope: global;metric: parallax,"Table 3. Basic stellar parameters of Arcturus ... parallax, 88.85 ± 0.74 (mas)",
2009A&A...504..543T,RG*,Arcturus,teff,4300,K,3,"[64, 67, 924, 710]",doc1_p3,vlm_table,0.99,angular diameter measurement and spectral energy distribution,scope: global;metric: teff,"Table 3. Basic stellar parameters of Arcturus ... effective temperature, Teff 4300 ± 30 K",
2009IAUS..254..139W,RG*,Arcturus,fe_h,"-0.6",dex,1,"[175, 307, 185, 324]",doc7_p1,vlm_text,0.95,spectroscopy,scope: global;metric: fe_h,"With its large rotational lag (V = -100 kms^-1), metal-poor nature ([Fe/H] ~ -0.6) and significant age (10 Gyr) it belongs to the Galaxy's thick disk.",
2009MNRAS.400.1039W,RG*,Arcturus,fe_h,"-0.5",dex,4,"[78, 94, 892, 729]",doc10_p4,vlm_table,0.95,spectroscopy,scope: global;metric: fe_h,Table 2. Comparison of the derived light element abundances for Arcturus from Fulbright et al. (2007) and this study... Geometry Plane Parallel [Fe/H] -0.5dex,
2009MNRAS.400.1039W,RG*,Arcturus,fe_h,"-0.6",dex,4,"[78, 94, 892, 729]",doc10_p4,vlm_table,0.95,spectroscopy,scope: global;metric: fe_h,Table 2. Comparison of the derived light element abundances for Arcturus from Fulbright et al. (2007) and this study... Geometry Spherical [Fe/H] -0.6dex,
2009MNRAS.400.1039W,RG*,Arcturus,fe_h,"-0.6",dex,6,"[105, 59, 852, 271]",doc10_p6,vlm_table,0.95,spectroscopy,scope: global;metric: fe_h,Table 4. Stellar model parameters and resulting values of [Fe I/H] and [Fe II/H] for Arcturus and range of models for Lee 2525... Star Arcturus [Fe/H] (dex) -0.60,
2009MNRAS.400.1039W,RG*,Arcturus,fe_h,"-0.61",dex,10,"[65, 59, 892, 694]",doc10_p10,vlm_table,0.95,spectroscopy,scope: global;metric: fe_h,"Table 6. [Fe/H], [X/Fe] and s-process abundance ratios for Arcturus... Arcturus X [X/H] Fe I -0.61",
2009MNRAS.400.1039W,RG*,Arcturus,fe_h,"-0.56",dex,10,"[65, 59, 892, 694]",doc10_p10,vlm_table,0.95,spectroscopy,scope: global;metric: fe_h,"Table 6. [Fe/H], [X/Fe] and s-process abundance ratios for Arcturus... Arcturus X [X/H] Fe II -0.56",
2009MNRAS.400.1039W,RG*,Arcturus,teff,4290,K,4,"[78, 94, 892, 729]",doc10_p4,vlm_table,0.95,spectroscopy,scope: global;metric: teff,Table 2. Comparison of the derived light element abundances for Arcturus from Fulbright et al. (2007) and this study... Geometry Plane Parallel Teff 4290K,
2009MNRAS.400.1039W,RG*,Arcturus,teff,4300,K,4,"[78, 94, 892, 729]",doc10_p4,vlm_table,0.95,spectroscopy,scope: global;metric: teff,Table 2. Comparison of the derived light element abundances for Arcturus from Fulbright et al. (2007) and this study... Geometry Spherical Teff 4300K,
2009MNRAS.400.1039W,RG*,Arcturus,teff,4300,K,6,"[105, 59, 852, 271]",doc10_p6,vlm_table,0.95,spectroscopy,scope: global;metric: teff,Table 4. Stellar model parameters and resulting values of [Fe I/H] and [Fe II/H] for Arcturus and range of models for Lee 2525... Star Arcturus Teff (K) 4300,
2011ApJ...743..135R,RG*,Arcturus,fe_h,"-0.52",dex,1,"[733, 215, 769, 232]",doc5_p1,vlm_text,0.98,differential abundance analysis,scope: global;metric: fe_h,...and [Fe/H] = -0.52 ± 0.04. The effective temperature was determined using model atmosphere fits...,
2011ApJ...743..135R,RG*,Arcturus,parallax,88.65,mas,6,"[547, 119, 670, 137]",doc5_p6,vlm_text,0.98,trigonometric parallax,scope: global;metric: parallax,"Thus, we adopted the weighted average of the parallaxes listed in Table 3 as the parallax of Arcturus: π = 88.65 ± 0.40 mas.",
