source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1999AJ....118.1086B,PM*,Proxima Centauri,parallax,768.7,mas,1,"[333, 353, 403, 368]",doc3_p1,vlm_text,0.99,Interferometric fringe-tracking astrometry (HST FGS 3),scope: global;metric: parallax;HST;astrometry,We obtain absolute parallax values for Proxima Cen π_abs = 0''.7687 ± 0''.0003,
1999AJ....118.1086B,PM*,Proxima Centauri,pm_direction,78.77,deg,18,"[468, 618, 548, 631]",doc3_p18,vlm_table,0.99,Interferometric fringe-tracking astrometry (HST FGS 3),scope: global;metric: proper_motion_direction;HST;astrometry,Table 7: Proxima Cen | HST Proper Motion | in p.a. | 78°46 ± 0°03,
1999AJ....118.1086B,PM*,Proxima Centauri,pm_total,3851.7,arcsec/yr,18,"[468, 588, 545, 601]",doc3_p18,vlm_table,0.99,Interferometric fringe-tracking astrometry (HST FGS 3),scope: global;metric: proper_motion_total;HST;astrometry,Table 7: Proxima Cen | HST Proper Motion | 3851.7 ± 0.1 mas y^-1 | in p.a. | 78°46 ± 0°03,
2014AJ....148...91L,PM*,Proxima Centauri,parallax,768.13,mas,9,"[573, 521, 606, 531]",doc0_p9,vlm_table,0.98,Astrometry,scope: global;metric: parallax,Proxima Cen ... π(abs) (mas) 768.13 ± 1.04,
2014AJ....148...91L,PM*,Proxima Centauri,pm_direction,282.4,deg,9,"[793, 518, 833, 528]",doc0_p9,vlm_table,0.98,Astrometry,scope: global;metric: proper_motion_position_angle,Proxima Cen ... P.A. (deg) 282.4 ± 0.02,
2014AJ....148...91L,PM*,Proxima Centauri,pm_total,3.8508,arcsec/yr,9,"[778, 523, 803, 531]",doc0_p9,vlm_table,0.98,Astrometry,scope: global;metric: total_proper_motion,Proxima Cen ... μ (mas yr^-1) 3850.8 ± 0.6 ... P.A. (deg) 282.4 ± 0.02,
2020ApJS..249...36M,PM*,Proxima Centauri,pmdec,368,mas/yr,15,"[775, 833, 833, 848]",doc2_p15,vlm_text,0.95,Astrometric measurement,scope: global;metric: proper_motion_dec,For Proxima Centauri this motion is 368 mas/yr and -3775 mas/yr in declination and right ascension respectively.,
2020ApJS..249...36M,PM*,Proxima Centauri,pmra,-3775,mas/yr,15,"[883, 773, 946, 788]",doc2_p15,vlm_text,0.95,Astrometric measurement,scope: global;metric: proper_motion_ra,For Proxima Centauri this motion is 368 mas/yr and -3775 mas/yr in declination and right ascension respectively.,
2025AJ....170...22L,PM*,Proxima Centauri,parallax,768.066(50),mas,4,"[368, 163, 473, 178]",doc4_p4,vlm_table,0.98,Gaia Collaboration et al. (2021),scope: global;metric: parallax,Table 1. Target Star Properties ... Parallax ... Proxima Centauri ... 0''.768066(50),
2025AJ....170...22L,PM*,Proxima Centauri,pmdec,769.465(51),mas/yr,4,"[392, 216, 473, 231]",doc4_p4,vlm_table,0.98,Gaia Collaboration et al. (2021),scope: global;metric: proper_motion_dec,Table 1. Target Star Properties ... δ proper motion (mas/yr) ... Proxima Centauri ... 769.465(51),
