source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2006ApJ...645..664A,dS*,Vega,parallax,128.93 ± 0.55,mas,13,"[0, 0, 1000, 1000]",doc10_p13,vlm_table,0.99,Trigonometric parallax (Hipparcos),scope: global;metric: parallax,TABLE 2 FUNDAMENTAL STELLAR PARAMETERS FOR VEGA ... Parallax (mas) ... 128.93 ± 0.55 ... Perryman et al. (1997),
2020AN....341..860R,dS*,Vega,parallax,130.23 ± 0.36,mas,4,"[0, 0, 1000, 1000]",doc14_p4,vlm_text,0.95,Hipparcos mission (van Leeuwen 2007),scope: global;metric: parallax;Hipparcos,This 2.3σ detection closely matches the true parallax of 0.13023 ± 0.00036 (van Leeuwen 2007)... 3Vega it is too bright for precision Gaia observations; this parallax is from the Hipparcos mission.,
SRC_DB_HIPPARCOS,dS*,Vega,parallax,128.92999267578125,mas,,,,database_query,,,,,
SRC_DB_HIPPARCOS,dS*,Vega,pmdec,287.46,mas/yr,,,,database_query,,,,,
SRC_DB_HIPPARCOS,dS*,Vega,pmra,201.02,mas/yr,,,,database_query,,,,,
SRC_DB_HR,dS*,Vega,parallax,123.00000339746475,mas,,,,database_query,,,,,
SRC_DB_HR,dS*,Vega,pmdec,286.00001335144043,mas/yr,,,,database_query,,,,,
SRC_DB_HR,dS*,Vega,pmra,202.00000703334808,mas/yr,,,,database_query,,,,,
SRC_DB_TIC,dS*,Vega,parallax,128.93,mas,,,,database_query,,,,,
SRC_DB_TIC,dS*,Vega,pmdec,287.46,mas/yr,,,,database_query,,,,,
SRC_DB_TIC,dS*,Vega,pmdec,287.46,mas/yr,,,,database_query,,,,,
SRC_DB_TIC,dS*,Vega,pmra,201.02,mas/yr,,,,database_query,,,,,
SRC_DB_TIC,dS*,Vega,pmra,201.02,mas/yr,,,,database_query,,,,,
