source_id,parallax,parallax_unit,pmdec,pmdec_unit,pmra,pmra_unit
2023ApJ...950..135S,,,,,,
2020AN....341..860R,130.23 ± 0.36,mas,,,,
2019A&A...627A..44B,,,,,,
2018A&A...616L...7M,,,,,,
2018MNRAS.479L.102C,,,,,,
2018A&A...618A..63B,,,,,,
2017ApJ...839...48V,,,,,,
2015JKAS...48...93G,,,,,,
2013A&A...559A..21P,,,,,,
2012ApJ...761...57B,,,,,,
2011A&A...534L...3B,,,,,,
2011A&A...526A..89P,,,,,,
2006MNRAS.373...13C,,,,,,
2006ApJ...645..664A,128.93 ± 0.55,mas,,,,
2006MNRAS.366.1295B,,,,,,
2001MNRAS.327..133S,,,,,,
1999ApJ...520L.123B,,,,,,
SRC_DB_HR,123.00000339746475,mas,286.00001335144043,mas/yr,202.00000703334808,mas/yr
SRC_DB_HD,,,,,,
SRC_DB_IRAS,,,,,,
SRC_DB_TIC,128.93,mas,287.46,mas/yr,201.02,mas/yr
SRC_SUPPL_J_ApJ_761_57,,,,,,
SRC_DB_HIPPARCOS,128.92999267578125,mas,287.46,mas/yr,201.02,mas/yr
