source_id,radial_velocity,radial_velocity_unit
2025ApJ...992..107O,,
2025Galax..13...50D,+21.91 ± 0.51,km/s
2025ApJ...978...50M,"(-10.96, 0.69, 27.01)",km/s
2025ApJ...988L..47H,,
2024ApJ...977...35G,,
2024ApJ...962L..36M,,
2024A&A...685A.124J,20.7,km/s
2023NewA...9901962J,21.9,km/s
2022ApJ...936...18D,+21.91 ± 0.51,km/s
2021AJ....161...98H,,
2020ApJ...905...34H,20.9 ± 0.3,km/s
2013EAS....60...77D,N/A,km/s
2013EAS....60..161B,24 to 17,km/s
2013LNP...857..231P,24.5,km/s
2010OAP....23...86M,,
2003ApJ...583..923L,,
SRC_DB_HD,,
SRC_SUPPL_J_ApJ_905_34,,
