source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1996MNRAS.283L.111R,AGN,M87,black_hole_mass,3 × 10^9,Msun,1,"[337, 878, 351, 895]",doc3_p1,vlm_text,0.98,dynamical determination (HST),scope: global;metric: black_hole_mass,"Furthermore, HST observations have now provided a direct dynamical determination of the nuclear black hole mass of M ≈ 3 × 10^9 M_sun (Ford et al. 1995; Harms et al. 1995).",
1997AJ....113.1279M,AGN,M87,black_hole_mass,2.4 × 10^9,M_☉,2,"[284, 388, 315, 408]",doc8_p2,vlm_text,0.95,gas disk kinematics,scope: global;metric: black_hole_mass,"If this gas is in approximately circular motion, and if the disk is inclined at 42° as implied by the apparent axial ratio, then M87 contains a central dark mass of M_h ≈ 2.4 × 10^9 M_☉ (Harms et al. ",
2009ApJ...700.1690G,AGN,M87,black_hole_mass,6.4(±0.5) × 10^9,Msun,1,"[133, 252, 148, 273]",doc10_p1,vlm_text,0.98,dynamical modeling,scope: global;metric: black_hole_mass,We find a black hole mass of 6.4(±0.5) × 10^9 M_sun (the uncertainty is 68% confidence marginalized over the other parameters).,
2011ApJ...729..119G,AGN,M87,black_hole_mass,(6.6 ± 0.4) × 10^9,Msun,1,"[261, 248, 276, 269]",doc6_p1,vlm_text,0.98,orbit-based axisymmetric models,scope: global;metric: black_hole_mass,"We combine these data with extensive stellar kinematics out to large radii to derive a black-hole mass equal to (6.6 ± 0.4) × 10^9 M_sun, using orbit-based axisymmetric models...",
2011ApJ...729..119G,AGN,M87,black_hole_mass,(6.6 ± 0.4) × 10^9,Msun,8,"[687, 752, 700, 770]",doc6_p8,vlm_text,0.98,orbit-based axisymmetric models,scope: global;metric: black_hole_mass,The best-fit black-hole mass is (6.6 ± 0.4) × 10^9 M_sun. The vertical lines represent the 68% range for the black hole mass.,
2011ApJ...729..119G,AGN,M87,black_hole_mass,(6.6 ± 0.4) × 10^9,Msun,9,"[132, 427, 147, 449]",doc6_p9,vlm_text,0.98,orbit-based axisymmetric models,scope: global;metric: black_hole_mass,"The points in Fig 6 are the χ^2 values from the individual models, and the line is a smoothing spline. We find a black-hole mass of (6.6 ± 0.4) × 10^9 M_sun.",
2011ApJ...729..119G,AGN,M87,black_hole_mass,(6.6 ± 0.4) × 10^9,Msun,10,"[178, 908, 192, 929]",doc6_p10,vlm_text,0.98,orbit-based axisymmetric models,scope: global;metric: black_hole_mass,"6.1. M87 Specific Results
Our best-fit black-hole mass is (6.6 ± 0.4) × 10^9 M_sun. Sargent et al. (1979) report a black-hole mass of 6 × 10^9 M_sun...",
2012A&A...547A..56D,AGN,M87,black_hole_mass,6.4 × 10^9,Msun,1,"[106, 451, 133, 466]",doc0_p1,vlm_text,0.98,literature,scope: global;metric: black_hole_mass,"Context. M87 is a giant elliptical galaxy located in the centre of the Virgo cluster, which harbours a supermassive black hole of mass 6.4 × 10^9 M_sun, whose activity is responsible for the extended ",
2013ApJ...770...86W,AGN,M87,black_hole_mass,3.5^{+0.9}_{-0.7} x 10^9,Msun,1,"[313, 345, 328, 367]",doc14_p1,vlm_text,0.98,gas-dynamical modeling,scope: global;metric: black_hole_mass,we ultimately measure a mass of M_BH = (3.5^{+0.9}_{-0.7}) x 10^9 M_sun (68% confidence).,
2013ApJ...770...86W,AGN,M87,black_hole_mass,(3.5^{+0.9}_{-0.7}) x 10^9,Msun,7,"[79, 87, 921, 726]",doc14_p7,vlm_table,0.98,gas-dynamical modeling,scope: global;metric: black_hole_mass,TABLE 2 DISK MODEL PARAMETERS ... M_BH (M_sun) ... (3.5^{+0.9}_{-0.7}) x 10^9,
