source_id,black_hole_mass,black_hole_mass_unit,eddington_ratio,eddington_ratio_unit,radio_flux_6cm,radio_flux_6cm_unit
2025ApJ...985...41Z,,,0.00017,,,
2025A&A...698A..24B,,,,,,
2025JHEAp..4700367A,6.5 × 10^9,M_☉,,,,
2024MNRAS.527.2341S,(9.7 +0.6 -0.4) × 10^9,Msun,,,,
2023arXiv230704294A,,,0.84,,,
2023arXiv230602494A,,,0.0118,,,
2023ApJ...945L..35L,5.37^{+0.37}_{-0.25} ± 0.22,10^9 Msun,,,,
2023A&A...679A..37O,3.5^{+0.9}_{-0.7} x 10^9,Msun,,,,
2022ApJ...935...61B,7.13,Msun,,,,
2020MPLA...3550291K,(6.5 ± 0.9) × 10^9,M_☉,,,,
2019ApJ...875L...5E,6.2 × 10^9,Msun,,,,
2019ApJ...875L...6E,6.5 ± 0.7 × 10^9,Msun,,,,
2019MNRAS.489.1197N,(6.5 ± 0.7) × 10^9,Msun,,,,
2018MNRAS.479L..65S,(6.0±0.4)×10^9,Msun,,,,
2015MNRAS.451..588R,6600000000.0,M_☉,,,,
2013ApJ...770...86W,(3.5^{+0.9}_{-0.7}) x 10^9,Msun,,,,
2012A&A...547A..56D,6.4 × 10^9,Msun,,,,
2011ApJ...729..119G,(6.6 ± 0.4) × 10^9,Msun,,,,
2009ApJ...700.1690G,6.4(±0.5) × 10^9,Msun,,,,
1997AJ....113.1279M,2.4 × 10^9,M_☉,,,,
1996MNRAS.283L.111R,3 × 10^9,Msun,,,,
SRC_DB_3C,,,,,1100,Jy
