source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1998ApJ...499L.199S,OpC,M45,cluster_age,125,Myr,6,"[846, 193, 880, 212]",doc1_p6,vlm_text,0.98,lithium depletion boundary,scope: global;metric: cluster_age,The age derived in this way is then 125 ± 8 Myr,
1998ApJ...499L.199S,OpC,M45,dist_modulus,5.6,mag,6,"[290, 137, 328, 156]",doc1_p6,vlm_text,0.95,photometric distance modulus,scope: global;metric: dist_modulus,"cluster has (m-M)o = 5.60 (r ~ 130 pc), and AI = 0.06",
1998ApJ...499L.199S,OpC,M45,distance,130,pc,6,"[368, 137, 427, 156]",doc1_p6,vlm_text,0.95,photometric distance,scope: global;metric: distance,cluster has (m-M)o = 5.60 (r ~ 130 pc),
1999ApJ...523..328N,OpC,M45,dist_modulus,5.58,mag,1,"[443, 480, 483, 500]",doc15_p1,vlm_text,0.98,radial-velocity gradient method,scope: global;metric: dist_modulus,We derive a distance modulus to the Pleiades of 5.58 ± 0.18 mag from the gradient in the radial velocities of the Pleiades members in the direction parallel to the proper motion of the cluster.,
1999ApJ...523..328N,OpC,M45,dist_modulus,5.58,mag,13,"[436, 837, 477, 857]",doc15_p13,vlm_text,0.98,radial-velocity gradient method,scope: global;metric: dist_modulus,The distance to the Pleiades from the radial-velocity gradient method corresponds to a distance modulus of (m - M) = 5.58 ± 0.18 mag. This value agrees very well with the 'classical' estimates...,
1999ApJ...523..328N,OpC,M45,dist_modulus,5.58,mag,28,"[732, 549, 772, 569]",doc15_p28,vlm_text,0.98,radial-velocity gradient method,scope: global;metric: dist_modulus,(1): We have derived a distance modulus to the Pleiades of (m - M) = 5.58 ± 0.18 mag using a variant of the moving cluster method - the gradient in the radial velocity of the cluster members...,
1999ApJ...523..328N,OpC,M45,distance,130.7,pc,13,"[642, 247, 692, 267]",doc15_p13,vlm_text,0.98,radial-velocity gradient method,scope: global;metric: distance,"We adopt as Pleiades members all the 141 of the 154 candidate stars that remain after the last iteration and derive a distance to the Pleiades of d = 130.7 ± 11.1 pc, a velocity dispersion of σ_clus =",
2003A&A...400..891M,OpC,M45,cluster_age,120,Myr,1,"[678, 640, 746, 657]",doc24_p1,vlm_text,0.95,isochrone fitting,scope: global;metric: cluster_age,Its age of approximately 120 Myr (Stauffer et al. 1998) makes the lithium test particularly useful for identifying brown dwarfs,
2003A&A...400..891M,OpC,M45,dist_modulus,5.53,mag,6,"[439, 812, 475, 830]",doc24_p6,vlm_text,0.95,photometric distance modulus,scope: global;metric: distance_modulus,"We overplotted the 120 Myr isochrones from the NEXTGEN and DUSTY models from Baraffe et al. (1998) and Chabrier et al. (2000) respectively, assuming a distance modulus for the Pleiades cluster of (m-M",
2003A&A...400..891M,OpC,M45,distance,125,pc,1,"[760, 594, 811, 612]",doc24_p1,vlm_text,0.95,photometric distance,scope: global;metric: distance,"It is relatively nearby with a distance of about 125 pc, with the apparent magnitude of massive brown dwarfs bright enough for being easily detected",
2003AJ....126..833S,OpC,M45,cluster_age,600,Myr,12,"[0, 0, 1000, 1000]",doc27_p12,vlm_text,0.9,isochrone fitting,scope: global;metric: cluster_age,"Because the Praesepe K dwarfs are not affected, we can assume that by ages of order 600 Myr the condition has dissipated.",
2003AJ....126..833S,OpC,M45,dist_modulus,5.53,mag,6,"[459, 273, 475, 298]",doc27_p6,vlm_text,0.95,main-sequence fitting,scope: global;metric: distance_modulus,"The values we selected for the Pleiades are (m-M)0 = 5.53, AV = 0.12 (Becker & Fenkart 1971; Jones 1972; Crawford & Perry 1976; Turner 1979; Nissen 1988)",
2004A&A...418L..31M,OpC,M45,dist_modulus,5.60 ± 0.04,mag,1,"[396, 613, 432, 631]",doc2_p1,vlm_text,0.95,main-sequence fitting,scope: global;metric: distance_modulus,"The distance to the Pleiades has been derived by main-sequence fitting methods several times over the years, and consistently found to cluster around m-M=5.60 ±0.04...",
2004A&A...418L..31M,OpC,M45,distance,132 ± 2,pc,1,"[615, 415, 644, 431]",doc2_p1,vlm_text,0.98,orbital solution of eclipsing binary,scope: global;metric: distance,The resulting distance to the binary and therefore to the cluster is 132±2 pc. This closely confirms the distance modulus obtained by classical main sequence fitting methods...,
