source_id,distance,distance_unit,m_h,m_h_unit,metallicity_Fe_H,metallicity_Fe_H_unit,parallax,parallax_unit,pulsation_period,pulsation_period_unit
2026A&A...708A.216R,,,,,,,,,,
2026arXiv260702439E,,,,,,,,,5.366531,d
2025ApJ...981..179W,,,,,,,,,,
2024A&A...690A.246T,,,,,,,,,,
2024A&A...682L..21C,,,,,,,,,,
2024AJ....168...34W,,,,,,,,,,
2024A&A...684L...9N,,,,,,,3.5551,mas,5.3663671,d
2023MNRAS.520.4154M,,,,,,,,,,
2020A&A...642A.230R,,,,,,,,,,
2017A&A...597A..73N,272,pc,,,,,,,5.366208,d
2017ApJ...838...67E,273,pc,,,,,,,5.366,d
2016MNRAS.461.1451G,,,,,,,3.66 ± 0.15,mas,5.37,d
2015A&A...584A..80M,274,pc,,,0.06,dex,,,5.3662906 ± 0.0000061,d
2015ApJ...804..144A,244 ± 10,pc,,,,,4.09 ± 0.16,mas,2201,d
2014ApJ...794...80E,273 ± 11,pc,,,,,,,,
2013IAUS..289..134N,,,,,,,,,,
2012ApJ...747..145M,272 ± 3(sigma_x) ± 5(sigma),pc,,,,,3.77 ± 0.16,mas,,
2012ApJ...744...53M,273,pc,,,,,,,5.366341,d
2010ApJ...725.2392M,0.273±0.011,kpc,,,,,,,5.37,d
2008ApJ...674L..93N,274,pc,,,,,,,5.3663,d
2007AJ....133.1810B,,,,,,,,,5.36627,d
2006MmSAI..77..299G,,,,,,,,,,
2005astro.ph..6695A,274 ± 11,pc,,,,,,,5.366316,d
2002AJ....124.1695B,,,,,,,3.66 ± 0.15,mas,5.366316,d
2002AJ....123.3380N,262 ± 5,pc,,,,,,,,
2001AJ....121..476A,254 ± 30,pc,,,,,3.32 ± 0.58,mas,5.366316,d
SRC_DB_HR,,,,,,,0.010999999940395355,,,
SRC_DB_GAIA_DR2,,,,,0,,"-1.1717",mas,,
SRC_DB_GAIA_DR3,320.85750000000002,pc,,,"-0.129",,3.5550999999999999,mas,,
SRC_DB_TIC,4352.2700000000004,pc,"-0.024799999999999999",log(Sun),,,"-1.1717",mas,,
SRC_DB_HIPPARCOS,,,,,,,3.3199999332427979,mas,5.369999885559082,d
