source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2006ApJ...644L.117I,SB*,Capella,velocity_semi_amplitude,26.05,km/s,3,"[107, 909, 151, 926]",doc5_p3,vlm_text,0.98,spectroscopic,scope: global;metric: velocity_semi_amplitude,"the velocity amplitudes K1 and K2 for the primary and secondary stars are 26.05 and 27.40 km s^-1, and the systemic velocity",
2009ApJ...700.1349T,SB*,Capella,component_mass,2.466 ± 0.018,Msun,1,"[428, 244, 472, 262]",doc6_p1,vlm_text,0.98,spectroscopic and astrometric,scope: global;metric: component_mass,Our highly accurate three-dimensional orbital solution based on all existing spectroscopic and astrometric observations including our own yields much improved masses for the primary and secondary of 2,
2009ApJ...700.1349T,SB*,Capella,component_mass,2.443 ± 0.013,Msun,1,"[588, 244, 632, 262]",doc6_p1,vlm_text,0.98,spectroscopic and astrometric,scope: global;metric: component_mass,Our highly accurate three-dimensional orbital solution based on all existing spectroscopic and astrometric observations including our own yields much improved masses for the primary and secondary of 2,
2009ApJ...700.1349T,SB*,Capella,component_mass,2.466 ± 0.018,Msun,36,"[244, 90, 752, 619]",doc6_p36,vlm_table,0.99,spectroscopic and astrometric,scope: global;metric: component_mass,TABLE 9 ORBITAL SOLUTION FOR CAPELLA. ... Derived quantities ... M_A (M_sun) ... 2.466 ± 0.018,
2009ApJ...700.1349T,SB*,Capella,component_mass,2.443 ± 0.013,Msun,36,"[244, 90, 752, 619]",doc6_p36,vlm_table,0.99,spectroscopic and astrometric,scope: global;metric: component_mass,TABLE 9 ORBITAL SOLUTION FOR CAPELLA. ... Derived quantities ... M_B (M_sun) ... 2.443 ± 0.013,
2009ApJ...700.1349T,SB*,Capella,component_mass,2.466 ± 0.018,Msun,40,"[259, 404, 737, 700]",doc6_p40,vlm_table,0.99,spectroscopic and astrometric,scope: global;metric: component_mass,TABLE 15 PHYSICAL PARAMETERS OF CAPELLA. ... Mass (M_sun) ... Primary 2.466 ± 0.018,
2009ApJ...700.1349T,SB*,Capella,component_mass,2.443 ± 0.013,Msun,40,"[259, 404, 737, 700]",doc6_p40,vlm_table,0.99,spectroscopic and astrometric,scope: global;metric: component_mass,TABLE 15 PHYSICAL PARAMETERS OF CAPELLA. ... Mass (M_sun) ... Secondary 2.443 ± 0.013,
2009ApJ...700.1349T,SB*,Capella,orbital_period,104,d,1,"[826, 204, 857, 222]",doc6_p1,vlm_text,0.95,spectroscopic,scope: global;metric: orbital_period,"We report extensive radial-velocity measurements of the two giant components of the detached, 104-day period binary system of Capella.",
2009ApJ...700.1349T,SB*,Capella,orbital_period,104.02173 ± 0.00022,d,36,"[244, 90, 752, 619]",doc6_p36,vlm_table,0.99,spectroscopic and astrometric,scope: global;metric: orbital_period,TABLE 9 ORBITAL SOLUTION FOR CAPELLA. ... P (days) ... 104.02173 ± 0.00022,
2009ApJ...700.1349T,SB*,Capella,velocity_semi_amplitude,26.005 ± 0.036,km/s,36,"[244, 90, 752, 619]",doc6_p36,vlm_table,0.99,spectroscopic and astrometric,scope: global;metric: velocity_semi_amplitude,TABLE 9 ORBITAL SOLUTION FOR CAPELLA. ... K_A (km s^-1) ... 26.005 ± 0.036,
2009ApJ...700.1349T,SB*,Capella,velocity_semi_amplitude,26.260 ± 0.087,km/s,36,"[244, 90, 752, 619]",doc6_p36,vlm_table,0.99,spectroscopic and astrometric,scope: global;metric: velocity_semi_amplitude,TABLE 9 ORBITAL SOLUTION FOR CAPELLA. ... K_B (km s^-1) ... 26.260 ± 0.087,
2011A&A...531A..89W,SB*,Capella,component_mass,2.573,Msun,4,"[83, 66, 950, 703]",doc4_p4,vlm_table,0.99,spectroscopic orbit fitting combined with astrometric inclination,scope: global;metric: component_mass,Table 2. Spectroscopic orbital elements of Capella. ... M_A (M_sun) 2.573±0.009,
2011A&A...531A..89W,SB*,Capella,component_mass,2.488,Msun,4,"[83, 66, 950, 703]",doc4_p4,vlm_table,0.99,spectroscopic orbit fitting combined with astrometric inclination,scope: global;metric: component_mass,Table 2. Spectroscopic orbital elements of Capella. ... M_B (M_sun) 2.488±0.008,
