source_id,black_hole_mass,black_hole_mass_unit,fwhm_broad_hbeta,fwhm_broad_hbeta_unit,xray_photon_index,xray_photon_index_unit
2025ApJ...988..273L,,,5366,km s^{-1},,
2023MNRAS.521.2897W,19000000,M_sun,,,,
2023MNRAS.520.1807C,,,5191.0,km/s,,
2022ApJ...934..168B,2.41,10^7 Msun,,,,
2021ApJ...916...25R,2.06^{+0.05}_{-0.05},10^7 Msun,,,,
2020MNRAS.491.5126M,4 x 10^7,Msun,,,,
2019ApJ...877...65N,37000000,M_sun,,,,
2015ApJ...806..149K,4.57,10^7 M_sun,,,,
2014MNRAS.438.2980C,4.6,10^7 Msun,,,,
2014ApJ...791...37O,3.76 ± 1.15 × 10^7,Msun,,,,
2010MNRAS.408.1851L,,,,,1.81,
2010A&A...509A.106S,,,6860,km s^{-1},,
2010ApJ...714.1497W,,,,,1.2,
2008A&A...486...99S,,,6110,km/s,,
2007ApJ...659..250C,,,,,,
2007ApJ...670..105O,45700000,M_sun,,,,
2007A&A...463..903D,,,,,1.54,
2006ApJ...651..775B,,,4711,km/s,,
2006ApJ...647..901M,(4.14 ± 0.73) × 10^7,Msun,,,,
2005ApJ...634..939B,,,,,1.61,
2005AJ....130..936U,1.2e7,Msun,,,,
2003MNRAS.342.1222C,7.08,Msun,,,,
2000ApJ...528..260K,,,,,,
1999ApJ...512..204A,,,,,,
1997ApJ...487L.121W,,,,,,
1996MNRAS.283..193Z,,,,,,
1996ApJ...470..336K,,,,,,
1978ApJ...225L.115M,,,,,1.42,
