source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2003ApJ...588..545B,Pl,HD 209458b,pl_radius,1.347,R_Jup,1,"[102, 700, 146, 718]",doc36_p1,vlm_text,0.98,transit photometry (HST),scope: global;metric: pl_radius,Precise Hubble Space Telescope measurements of HD209458b's transit lightcurve revealed the radius (1.347 ± 0.060 R_Jup) and orbital inclination...,
2003ApJ...592..555B,Pl,HD 209458b,orb_period,3.5247542,d,9,"[673, 390, 755, 409]",doc40_p9,vlm_text,0.98,transit photometry and RV fitting,scope: global;metric: orbital period,Welsh et al. (2003) report a period P = 3.5247542 ± 4.4 × 10^-6 HJD and a transit midpoint Tc = 2452223.89617 ± 8.6 × 10^-5 HJD.,
2003ApJ...594..545B,Pl,HD 209458b,pl_radius,1.4,R_J,2,"[72, 753, 108, 770]",doc13_p2,vlm_text,0.98,transit,scope: global;metric: pl_radius,"From these data they derive a radius for HD 209458b of 1.40±0.17 R_J , where the error bars are one-sigma and R_J = 7.149 × 10^9 cm.",
2003ApJ...596.1327S,Pl,HD 209458b,orb_period,3.5,d,2,"[603, 287, 619, 307]",doc33_p2,vlm_text,0.85,text,scope: global;metric: orb_period,"Starting with 51 Peg (Mayor & Queloz 1995), these now number 13 and show a curious 'pile-up' at a ~ 0.04AU (or P = 3 - 4^d). ... the more typical orbit of HD 209458b (at 0.045 AU).",
2005A&A...436..719I,Pl,HD 209458b,pl_radius,1.35,R_jup,2,"[0, 0, 1000, 1000]",doc29_p2,vlm_text,0.95,model,scope: global;metric: pl_radius,The acceleration of gravity was set to g = 9.7 m s^-2 corresponding to a radius of 1.35 Jupiter radius and a mass of 0.7 time that of Jupiter (Mazeh et al. 2000).,
2005ApJ...624..372K,Pl,HD 209458b,orb_period,3.1,days,7,"[619, 626, 695, 646]",doc32_p7,vlm_text,0.95,text,scope: global;metric: orb_period,"OGLE-TR-10b is very similar to HD 209458b (Brown et al. 2001) in terms of its orbital and physical parameters. In particular, its orbital period (3.1 days) places it in the “hot Jupiter” category",
2005ApJ...629L..45C,Pl,HD 209458b,orb_period,3.5257,days,1,"[397, 404, 485, 426]",doc2_p1,vlm_text,0.98,transit depth measurements,scope: global;metric: orb_period,The transiting planet HD 209458b orbits very closely (0.046 AU) to its parent star with a period of 3.5257 days (Charbonneau et al. 2000; Henry et al. 2000).,
2005ApJ...632.1157W,Pl,HD 209458b,pl_mass,0.66,M_Jup,2,"[647, 495, 688, 516]",doc38_p2,vlm_text,0.98,simultaneous fit of photometric transit and radial velocity observations,scope: global;metric: pl_mass,"We can reduce the uncertainty on these estimates by including a stellar mass-radius relation constraint, yielding R_planet=1.35±0.07 R_Jup and M_planet=0.66±0.04 M_Jup.",
2005ApJ...632.1157W,Pl,HD 209458b,pl_mass,0.66,M_Jup,17,"[695, 717, 735, 737]",doc38_p17,vlm_text,0.98,simultaneous fit of photometric transit and radial velocity observations,scope: global;metric: pl_mass,"By applying the mass-radius relation of Cody & Sasselov (2002), we reduce the uncertainty: R_planet=1.35 ±0.07 R_Jup, M_planet=0.66 ±0.04 M_Jup.",
2005ApJ...632.1157W,Pl,HD 209458b,pl_mass,0.657,M_Jup,23,"[314, 494, 685, 800]",doc38_p23,vlm_table,0.95,model fit (ELC code),scope: global;metric: pl_mass,Table 4. HD 209458 System Parameters ... M_star (M_sun) ... 1.09 ... M_planet (M_Jup) ... 0.657,
2006ApJ...649.1043R,Pl,HD 209458b,pl_radius,1.26,R_jup,2,"[235, 217, 276, 237]",doc22_p2,vlm_text,0.98,transit photometry,scope: global;metric: pl_radius,"We derive a stellar radius of R* = 1.06 ± 0.07 R_sun, a planetary radius of Rp = 1.26 ± 0.08 RJ, and a stellar mass of 1.17 M_sun.",
2006ApJ...649.1043R,Pl,HD 209458b,pl_radius,1.26,R_jup,8,"[114, 637, 154, 657]",doc22_p8,vlm_text,0.98,transit photometry,scope: global;metric: pl_radius,"On this basis, we derive the stellar mass to be M = 1.171 M_sun, with R* = 1.06 ± 0.07 R_sun and Rp = 1.26 ± 0.08 RJ.",
2006ApJ...649.1043R,Pl,HD 209458b,pl_radius,1.265,R_jup,14,"[174, 424, 816, 586]",doc22_p14,vlm_table,0.95,transit photometry,scope: global;metric: pl_radius,Table 3. Derived physical parameters for the two minimization techniques. ... Planetary Radius (RJ) 1.265 1.265 0.085,
2006NewA...11..490I,Pl,HD 209458b,orb_period,3.52474554,days,5,"[460, 758, 551, 777]",doc34_p5,vlm_text,0.98,photometric transit and Doppler spectroscopy,scope: global;metric: orb_period,The quoted value in (Wittenmyer et al. 2005) is P(obs)_(Wittenmyer et al.) = 3.52474554 ± 1.8 × 10^-7 days. (9),
2007ApJ...655..564K,Pl,HD 209458b,orb_period,3.52474859,d,16,"[333, 727, 432, 747]",doc17_p16,vlm_text,0.98,transit timing,scope: global;metric: orb_period,We derive a period of 3.52474859 ± 0.00000038 days (±0.033 s) for the planet and initial transit epoch T_C = 2452826.628521 ± 0.000087 HJD (±7.5 s).,
2007ApJ...655..564K,Pl,HD 209458b,orb_period,3.52474859,d,18,"[532, 383, 764, 404]",doc17_p18,vlm_text,0.98,transit timing,scope: global;metric: orb_period,"Using a combination of STIS data spanning four transits in 2000 and four transits in 2003, we find that P = 3.52474859 ± 0.00000038 days (±0.033 s)",
2007ApJ...655..564K,Pl,HD 209458b,orb_period,3.52474859,d,30,"[252, 453, 747, 560]",doc17_p30,vlm_table,0.98,transit timing,scope: global;metric: orb_period,Table 7. Ephemeris from this work and previous works. ... This Work ... 3.52474859 ± 0.00000038,
2007ApJ...655..564K,Pl,HD 209458b,pl_radius,1.32,R_jup,1,"[670, 773, 720, 793]",doc17_p1,vlm_text,0.98,transit photometry,scope: global;metric: pl_radius,"We find that the radius of HD 209458b is 1.320 ± 0.025 R_jup, which is a factor of two more precise than current estimates.",
2007ApJ...655..564K,Pl,HD 209458b,pl_radius,1.32,R_jup,11,"[301, 586, 352, 606]",doc17_p11,vlm_text,0.98,transit photometry,scope: global;metric: pl_radius,"Minimizing this function, we find that the best-fit value for the radius of the planet is 1.320 ± 0.025 R_jup, with an orbital inclination of 86.929 ± 0.010.",
2007ApJ...655..564K,Pl,HD 209458b,pl_radius,1.32,R_jup,18,"[133, 233, 184, 253]",doc17_p18,vlm_text,0.98,transit photometry,scope: global;metric: pl_radius,"We find that the radius of HD 209458b is 1.320 ± 0.025 R_jup, a factor of two more precise than previous measurements.",
2007ApJ...655..564K,Pl,HD 209458b,pl_radius,1.320 +0.024 -0.025,R_jup,29,"[168, 132, 831, 299]",doc17_p29,vlm_table,0.98,transit photometry,scope: global;metric: pl_radius,Table 4. Comparison between best-fit values and results from previous works ... This Work ... 1.320 +0.024 -0.025,
2007ApJ...668L.171B,Pl,HD 209458b,pl_radius,1.32,R_J,3,"[627, 891, 663, 909]",doc21_p3,vlm_text,0.95,transit,scope: global;metric: pl_radius,...the transit radius measured by Richardson et al. (2006) at 24 μm (1.26±0.08 R_J) is smaller than the corresponding radius in the optical (1.32±0.025 R_J; Knutson et al. 2007a).,
2008A&A...485..865L,Pl,HD 209458b,pl_radius,1.29,R_jup,5,"[205, 738, 241, 755]",doc27_p5,vlm_text,0.95,transit spectroscopy (Rayleigh scattering),scope: global;metric: pl_radius,"Consequently, the radius of HD 209458b at 1 bar is determined to be about 1.29 Jupiter radius, slightly lower than previously assumed.",
2008ApJ...682..586M,Pl,HD 209458b,orb_period,3.52474832,days,14,"[248, 310, 744, 709]",doc42_p14,vlm_table,0.99,transit timing fit,scope: global;metric: orb_period,Table 1. Orbital and Physical Parameters for HD 209458 ... P [days] 3.52474832 ± 0.00000029,
2010ApJ...717.1291L,Pl,HD 209458b,pl_mass,0.64,M_jup,24,"[280, 303, 720, 710]",doc18_p24,vlm_table,0.99,photometric transit observations and radial velocity,scope: global;metric: pl_mass,Table 1. Properties of HD 209458 and HD 209458b ... M_planet/M_Jup 0.64 ± 0.06,
2010Natur.465.1049S,Pl,HD 209458b,pl_mass,0.64,M_jup,1,"[726, 589, 768, 610]",doc19_p1,vlm_text,0.98,high dispersion ground-based spectroscopy / radial velocity,scope: global;metric: pl_mass,These observations result in a mass determination of the star and planet of 1.00±0.22 M_sun and 0.64±0.09 M_jup respectively.,
2010Natur.465.1049S,Pl,HD 209458b,pl_mass,0.64,M_jup,3,"[760, 442, 802, 463]",doc19_p3,vlm_text,0.98,high dispersion ground-based spectroscopy / radial velocity,scope: global;metric: pl_mass,the mass of the planet to be M_2 = 0.64 ± 0.09 M_jup at an orbital distance of a = 0.045 ± 0.003 AU,
2010Natur.465.1049S,Pl,HD 209458b,pl_mass,0.64,M_jup,8,"[682, 249, 724, 269]",doc19_p8,vlm_text,0.98,high dispersion ground-based spectroscopy / radial velocity,scope: global;metric: pl_mass,allowing the masses of both objects to be determined to be m_1=1.00±0.22 M_sun and m_2=0.64±0.09 M_jup (1σ) using solely Newton's law of gravitation.,
2010OAJ.....3..167I,Pl,HD 209458b,orb_period,3.524746,d,7,"[364, 366, 455, 385]",doc35_p7,vlm_text,0.98,photometric,scope: global;metric: orb_period,"In the present case, the system's parameters entering the Keplerian period i.e. the relative semimajor axis a, the mass M_star of the host star and the mass m_p of the planet, can be determined indepe",
2013ApJ...764..103R,Pl,HD 209458b,pl_radius,100000000.0,m,9,"[144, 318, 854, 701]",doc20_p9,vlm_table,0.95,model parameter,scope: global;metric: pl_radius,"Table 1. Model parameters used ... Radius of the planet, R_p ... HD 209458b: 1 x 10^8 m",
2014A&A...565A.105B,Pl,HD 209458b,pl_radius,1.38,R_jup,3,"[82, 309, 950, 905]",doc14_p3,vlm_table,0.99,transit,scope: global;metric: pl_radius,"Table 2. Physical parameters for HD 209458b, and numerical parameters with fixed values for all simulations. ... Planet radius R_p 1.380 R_jup",
2014ApJ...790...79R,Pl,HD 209458b,orb_period,3.3,day,7,"[144, 344, 854, 676]",doc26_p7,vlm_table,0.98,model parameter,scope: global;metric: orb_period,"Table 1. Model parameters used ... HD 209458b ... Corresponding period, P_orb ... 3.3 ... day_",
2016MNRAS.457.1666S,Pl,HD 209458b,pl_mass,0.67,M_Jup,4,"[67, 123, 475, 370]",doc5_p4,vlm_table,0.98,model parameter,scope: global;metric: pl_mass,Table 1. Stellar and planetary winds parameters employed in simulations ... Planetary parameters ... Mass M_P 0.67 M_Jup,
2017A&A...608A..75C,Pl,HD 209458b,pl_mass,0.69,M_J,4,"[58, 63, 941, 447]",doc8_p4,vlm_table,0.98,table,scope: global;metric: pl_mass,Table 1. Physical parameters of planets HD 209458b and HD 189733b and their host stars. ... HD 209458 | 0.69^1 | 1.36^1 | 0.047^1 | 1.12^1 | 1.20^2 | G0 | 4.0^3,
2017ApJ...844...94K,Pl,HD 209458b,pl_radius,1.35,R_Jup,3,"[673, 239, 708, 256]",doc41_p3,vlm_text,0.95,transit,scope: global;metric: pl_radius,"For comparison, the present-day transit radius of HD 209458b is ≈ 1.35 R_Jup. We evolve the initial model with external irradiation and internal heating, as described below.",
2018ApJ...863L..11H,Pl,HD 209458b,pl_radius,1.38,R_J,1,"[767, 542, 802, 560]",doc23_p1,vlm_text,0.98,transit,scope: global;metric: pl_radius,The hot Jupiter HD 209458b is one of the most favorable targets for atmospheric characterization. The planet orbits a bright (V=7.65) sun-like (G0V) star in a 3.5 day period and has mass 0.69±0.017 M_,
2018MNRAS.479.3115V,Pl,HD 209458b,pl_mass,0.67,M_J,4,"[81, 123, 917, 757]",doc16_p4,vlm_table,0.98,model parameter,scope: global;metric: pl_mass,Table 1. Stellar and planetary winds parameters employed in the simulations for the system HD 2019458 ... Planetary parameters ... Mass [M_J] M_p 0.67,
2020A&A...635A.206C,Pl,HD 209458b,pl_radius,1.359,R_jup,4,"[82, 64, 941, 700]",doc15_p4,vlm_table,0.98,transit,scope: global;metric: pl_radius,Table 2: Physical and orbital parameters of the HD 209458 system from previous studies ... Planet radius^a R_p [R_Jup] 1.359^{+0.016}_{-0.019},
2020AJ....159..225K,Pl,HD 209458b,orb_period,3.52,d,3,"[90, 81, 910, 230]",doc37_p3,vlm_table,0.99,table,scope: global;metric: orb_period,Table 1. Summary of planetary properties for HD 209458b... Planet Name | Equilibrium Temperature (K) | Period (Days) ... HD 209458b | 1412 ± 64 | 3.52,
2020MNRAS.491.3435S,Pl,HD 209458b,pl_mass,0.71,M_jup,3,"[702, 170, 742, 189]",doc12_p3,vlm_text,0.98,modeling parameter,scope: global;metric: pl_mass,The modeled HD209458 system consists of a planet with mass Mp=0.71MJ and radius Rp =1.38RJ orbiting at a distance of D=0.047 a.u. around a solar-type G-star...,
2020MNRAS.493.1292D,Pl,HD 209458b,pl_mass,0.73,M_jup,5,"[67, 123, 808, 317]",doc30_p5,vlm_table,0.95,model parameter,scope: global;metric: pl_mass,Table 1. Run parameters ... Planet Mass $M_p (M_J)$ 0.73,
2020MNRAS.493.1292D,Pl,HD 209458b,pl_radius,1.529,R_jup,5,"[67, 123, 808, 317]",doc30_p5,vlm_table,0.95,model parameter,scope: global;metric: pl_radius,Table 1. Run parameters ... Planet Radius $R_p (R_J)$ 1.529,
2022A&A...664A..56S,Pl,HD 209458b,pl_radius,1.38,R_jup,19,"[0, 47, 1000, 97]",doc24_p19,vlm_table,0.98,model parameter,scope: global;metric: pl_radius,"Table C.1: Parameters ... Parameter: R_p, Meaning: planetary radius, HD 209458b: 1.38 R_jup",
2022MNRAS.517.1724D,Pl,HD 209458b,pl_mass,0.73,M_J,4,"[67, 123, 937, 353]",doc10_p4,vlm_table,0.95,model parameter,scope: global;metric: pl_mass,Table 1. Run parameters ... Planet Mass $M_p (M_J)$ 0.73,
2023ApJ...953..166X,Pl,HD 209458b,pl_mass,0.69,M_J,8,"[386, 529, 422, 547]",doc4_p8,vlm_text,0.98,model settings,scope: global;metric: pl_mass,"The parameters of HD 209458 system are set as follows: the mass of the planet is 0.69 M_J, the radius 1.36 R_J, the mass of the star 1.119 M_sun...",
