source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1999AJ....117..303D,GlC,NGC 5139,mass,3.9 10^6,Msun,2,"[304, 168, 321, 189]",doc21_p2,vlm_text,0.95,literature reference (Meylan 1987),scope: global;metric: mass,"With a total mass of ~ 3.9 10^6 M_sun (Meylan 1987), omega Cen (NGC 5139) is the most massive globular cluster (GC) in the Galaxy.",
2002ApJ...579..832S,GlC,NGC 5139,metallicity,"-2.0 to -1.8",dex,3,"[690, 193, 719, 212]",doc3_p3,vlm_text,0.95,spectroscopy,scope: global;metric: metallicity,"In ω Cen the distribution of [Fe/H] has a floor near -2.0 to -1.8, presumably representing the initial metallicity of the gas out of which the cluster was formed",
2005ApJ...621..777P,GlC,NGC 5139,metallicity,"-1.57",dex,5,"[627, 738, 668, 758]",doc27_p5,vlm_text,0.95,spectral synthesis fitting,scope: global;metric: metallicity,"The results are shown in Fig. 2 (middle and lower panels); the best values are [M/H] = -1.57 for the rMS, and [M/H] = -1.26 for the bMS.",
2005ApJ...621..777P,GlC,NGC 5139,metallicity,"-1.26",dex,5,"[152, 758, 192, 778]",doc27_p5,vlm_text,0.95,spectral synthesis fitting,scope: global;metric: metallicity,"The results are shown in Fig. 2 (middle and lower panels); the best values are [M/H] = -1.57 for the rMS, and [M/H] = -1.26 for the bMS.",
2006A&A...445..503R,GlC,NGC 5139,central_velocity_dispersion,15,km/s,1,"[555, 444, 576, 461]",doc1_p1,vlm_text,0.95,radial velocity measurements,scope: global;metric: central_velocity_dispersion,The observed velocity dispersion decreases from about 15 km s^-1 in the inner few arcmin to about 6 km s^-1 at a radius of 25'.,
2006A&A...445..503R,GlC,NGC 5139,central_velocity_dispersion,15,km/s,6,"[530, 749, 553, 767]",doc1_p6,vlm_text,0.95,radial velocity measurements,scope: global;metric: central_velocity_dispersion,"The contours of constant velocity dispersion are elongated, and range from 15 km s^-1 in the centre to 8 km s^-1 at 10'.",
2006MNRAS.368.1749T,GlC,NGC 5139,metallicity,"-1.6",dex,2,"[350, 404, 375, 420]",doc29_p2,vlm_text,0.95,spectroscopy,scope: global;metric: metallicity,"The metal-poor ω Cen is known to have (at least) three stellar populations, with metallicities: [Fe/H] ~ -1.6, corresponding to the metal poor population containing the bulk of the stars...",
2008ApJ...681.1505J,GlC,NGC 5139,mass,2-7x10^6,Msun,2,"[426, 273, 442, 294]",doc11_p2,vlm_text,0.95,literature review,scope: global;metric: mass,"Although ω Cen is the most massive Galactic globular cluster, with an estimated mass of ~2-7×10^6 M_⊙ (Richer et al. 1991; Meylan et al. 1995; van de Ven et al. 2006)",
2009ApJ...698.2048J,GlC,NGC 5139,mass,2-7e6,Msun,2,"[492, 768, 508, 788]",doc7_p2,vlm_text,0.95,literature review,scope: global;metric: mass,"While ω Cen has an estimated mass of ~2–7×10^6 M_⊙ (Richer et al. 1991; Meylan et al. 1995; van de Ven et al. 2006), it does not appear to have a particularly deep potential well...",
2010A&A...520A..95C,GlC,NGC 5139,metallicity,"-1.6",dex,1,"[469, 489, 484, 508]",doc14_p1,vlm_text,0.95,spectroscopy,scope: global;metric: metallicity,"Our abundances assess the intrinsic metallicity dispersion (~ 0.19 dex, rms scatter) of M 54, with the bulk of stars peaking at [Fe/H]~ -1.6 and a long tail extending to higher metallicities, similar ",
2011A&A...534A..29D,GlC,NGC 5139,metallicity,10,factor,2,"[394, 717, 418, 738]",doc18_p2,vlm_text,0.95,spectroscopic surveys,scope: global;metric: metallicity,"At the same time, spectroscopic surveys revealed variations in [Fe/H] up to a factor of ~ 10 and a steep trend with Fe of n-capture elements La and Ba",
2012AJ....144....5K,GlC,NGC 5139,metallicity,"-1.62",dex,11,"[525, 668, 565, 688]",doc28_p11,vlm_text,0.95,spectroscopic,scope: global;metric: metallicity,"We computed stellar models for [Fe/H] = -1.62 and -1.32, to represent the rMS and bMS respectively",
2013ApJ...763..126C,GlC,NGC 5139,mass,3 x 10^6,Msun,1,"[395, 146, 407, 159]",doc9_p1,vlm_text,0.95,literature reference,scope: global;metric: mass,"Regardless of its origins, the sheer number of binaries that omega Cen is likely to harbor by virtue of its enormous mass (~3 x 10^6 M_sun; Meylan 2002) provides an opportunity...",
2013ApJ...763..126C,GlC,NGC 5139,metallicity,"-1.7",dex,12,"[807, 690, 835, 708]",doc9_p12,vlm_text,0.95,literature reference,scope: global;metric: metallicity,"Eight of the candidates we have identified lie redward of and/or below the giant and subgiant branches formed by the dominant population in the cluster (the most metal-poor population, with [Fe/H] = -",
2013ApJ...772...67B,GlC,NGC 5139,central_velocity_dispersion,17.31,km/s,5,"[79, 83, 922, 722]",doc16_p5,vlm_table,0.98,kinematic data,scope: global;metric: central_velocity_dispersion,Table 2: Kinematic quantities used to identify the dimensionless parameters of a model. ... GC: ω Cen ... σ0 (1): 17.31 ± 1.72,
2013ApJ...773L..31H,GlC,NGC 5139,mass,3000000.0,M_sun,3,"[79, 90, 921, 725]",doc30_p3,vlm_table,0.95,dynamical studies,scope: global;metric: mass,Table 1: ω Cen Reference Parameters & X-ray Detection Limits ... Mass | 3 × 10^6 M_sun | 1,
2014ApJ...782...49S,GlC,NGC 5139,central_velocity_dispersion,16.8,km/s,5,"[689, 703, 724, 721]",doc13_p5,vlm_text,0.95,literature,scope: global;metric: central_velocity_dispersion,"This is qualitatively consistent with the central velocity dispersions reported in Harris (1996), i.e. σ₀ = 5.0 (NGC 3201), 16.8 (NGC 5139), and 4.5 km s⁻¹ (NGC 6218).",
2014ApJ...797..115B,GlC,NGC 5139,central_velocity_dispersion,16.8,km/s,3,"[79, 72, 922, 711]",doc6_p3,vlm_table,0.95,spectroscopy,scope: global;metric: central_velocity_dispersion,"Table 1: GLOBULAR CLUSTERS AND THEIR PARAMETERS ... NGC 5139 (ω Cen) ... σ_V,los (km s^-1) 16.8 ± 0.3",
2019ApJ...881..104M,GlC,NGC 5139,metallicity,"-1.8",dex,11,"[236, 81, 765, 440]",doc12_p11,vlm_table,0.98,spectroscopy,scope: global;metric: metallicity,Table 6. Iron abundances for the considered samples of ω Cen RRLs... ω Cen ... [Fe/H]_tot -1.80 ± 0.03,
2019MNRAS.482.4713Z,GlC,NGC 5139,central_velocity_dispersion,3.01,km/s,10,"[67, 123, 918, 368]",doc25_p10,vlm_table,0.95,dynamical modeling,scope: global;metric: central_velocity_dispersion,Table 3. Comparison with literature... this work... 3.01 +0.45 -0.39,
2020AJ....159..254J,GlC,NGC 5139,mass,10^7,Msun,2,"[245, 270, 268, 288]",doc19_p2,vlm_text,0.9,dynamical models,scope: global;metric: mass,"The metallicity distribution function of the Sequoia galaxy, proposed by Myeong et al. (2019) as the progenitor system for ω Cen, is not currently well-constrained, but several estimates indicate that",
2025A&A...693A.155P,GlC,NGC 5139,mass,3.5 ± 0.03 × 10^6,Msun,1,"[269, 811, 297, 827]",doc17_p1,vlm_text,0.98,dynamical modeling (Baumgardt & Hilker 2018),scope: global;metric: mass,"Its total stellar mass, estimated to be 3.5 ± 0.03 × 10^6 M☉ (Baumgardt & Hilker 2018) is 10 times greater than the mean stellar mass of all known Galactic globular clusters...",
2025A&A...701A.169S,GlC,NGC 5139,mass,4_x_10^6,Msun,1,"[116, 57, 131, 74]",doc8_p1,vlm_text,0.95,literature reference,scope: global;metric: mass,...and most massive (~ 4 x 10^6 Msun Giersz & Heggie 2003; D'Souza & Rix 2013) GC in the Milky Way.,
2026MNRAS.550g1147K,GlC,NGC 5139,metallicity,"-1.45",dex,1,"[898, 584, 924, 601]",doc24_p1,vlm_text,0.95,spectroscopy,scope: global;metric: metallicity,"Not only does the cluster have a broad [Fe/H] spread, ranging from -0.5 dex down to -2.4 dex (e.g., Norris & Da Costa 1995; Bedin et al. 2004; Simpson & Cottrell 2013; Villanova et al. 2014; Johnson e",
SRC_DB_MWSC,GlC,NGC 5139,metallicity,"-1.445",log(Sun),,,,database_query,,,,,
