source_id,distance,distance_unit,fe_h,fe_h_unit,m_h,m_h_unit,parallax,parallax_unit,teff,teff_unit
2021A&A...645A..19F,,,"-0.57",dex,,,,,4283,K
2020ApJ...900...28C,,,"-0.64",dex,,,,,4297,K
2018A&A...620A..23O,11.3,pc,"-0.4",dex,,,88.83,mas,,
2018ApJS..234...25W,,,"-0.55",dex,,,,,4275,K
2015KPCB...31..172S,,,"-0.48",dex,"-0.33",dex,,,4286,K
2013KPCB...29..176S,11.26,pc,"-0.52",dex,,,88.83,mas,4286,K
2012A&A...548A..55A,,,"-0.50±0.07",dex,,,,,4290±50,K
2011ApJ...743..135R,,,"-0.52",dex,,,88.65,mas,4286,K
2009MNRAS.400.1039W,,,"-0.56",dex,,,,,4300,K
2009IAUS..254..139W,,,"-0.6",dex,,,,,,
2009A&A...504..543T,,,"-0.5",dex,,,88.85,mas,4300,K
2008AJ....135.1551K,,,"-0.5",dex,,,,,4290,K
2008A&A...485..561L,,,,,,,,,4295,K
2004ApJ...601L..43N,,,,,,,,,,
1998A&A...332..204C,,,"-0.62",dex,,,,,4330,K
SRC_DB_HR,,,,,,,0.090000003576278687,,,
SRC_DB_TIC,11.254899999999999,pc,,,"-0.52500000000000002",log(Sun),88.849999999999994,mas,4280,K
SRC_DB_HIPPARCOS,,,,,,,88.8499984741211,mas,,
