source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox
W1554821233,high_redshift_quasar,SDSSp J083643.85+005453.3,redshift,5.82,,2,"[434, 652, 529, 674]"
W1554821233,high_redshift_quasar,SDSSp J103027.10+052455.0,redshift,6.28,,2,"[98, 195, 623, 218]"
W1554821233,high_redshift_quasar,SDSSp J104433.04-012502.2,redshift,5.8,,2,"[901, 1471, 933, 1486]"
W1554821233,high_redshift_quasar,SDSSp J130608.26+035626.3,redshift,5.99,,2,"[336, 674, 430, 696]"
W1821429365,high_redshift_quasar,J083643.85+005453.3,redshift,5.82,,9,"[115, 377, 623, 401]"
W1821429365,high_redshift_quasar,J083643.85+005453.3,redshift,5.82,,10,"[450, 226, 481, 242]"
W1821429365,high_redshift_quasar,J103027.10+052455.0,redshift,6.28,,1,"[128, 617, 1151, 652]"
W1821429365,high_redshift_quasar,J103027.10+052455.0,redshift,6.28,,9,"[115, 1175, 623, 1200]"
W1821429365,high_redshift_quasar,J103027.10+052455.0,redshift,6.28,,10,"[450, 268, 482, 283]"
W1821429365,high_redshift_quasar,J104433.04-012502.2,redshift,5.8,,10,"[450, 205, 482, 221]"
W1821429365,high_redshift_quasar,J130608.26+035626.3,redshift,5.99,,1,"[128, 617, 1151, 652]"
W1821429365,high_redshift_quasar,J130608.26+035626.3,redshift,5.99,,9,"[116, 902, 623, 925]"
W1821429365,high_redshift_quasar,J130608.26+035626.3,redshift,5.99,,10,"[451, 246, 481, 262]"
W1821429365,high_redshift_quasar,SDSSp J083643.85+005453.3,redshift,5.82,,1,"[128, 617, 1151, 652]"
W1821429365,high_redshift_quasar,SDSSp J104433.04-012502.2,redshift,5.8,,1,"[128, 65, 1151, 100]"
W2005411300,high_redshift_quasar,SDSS J0005-0006,redshift,5.85,,6,"[312, 837, 547, 859]"
W2005411300,high_redshift_quasar,SDSS J0836+0054,redshift,5.82,,6,"[312, 987, 547, 1008]"
W2005411300,high_redshift_quasar,SDSS J0840+5624,redshift,5.85,,6,"[312, 837, 547, 859]"
W2005411300,high_redshift_quasar,SDSS J1048+4637,redshift,6.2,,6,"[312, 388, 547, 409]"
W2005411300,high_redshift_quasar,SDSS J1306+0356,redshift,5.99,,6,"[312, 687, 547, 709]"
W2005411300,high_redshift_quasar,SDSS J1436+5007,redshift,5.83,,6,"[312, 937, 547, 958]"
W2005411300,high_redshift_quasar,SDSS J1602+4228,redshift,6.07,,6,"[312, 488, 547, 509]"
W2005411300,high_redshift_quasar,SDSS J1623+3112,redshift,6.22,,6,"[312, 338, 547, 359]"
W2005411300,high_redshift_quasar,SDSS J1630+4012,redshift,6.05,,6,"[312, 537, 547, 559]"
W2135920379,high_redshift_quasar,high_redshift_quasar,redshift,2.1 <= z <= 3.5,redshift,1,"[77, 914, 100, 934]"
W2135920379,high_redshift_quasar,high_redshift_quasar,redshift,2.34,redshift,1,"[75, 777, 1164, 796]"
W2135920379,high_redshift_quasar,high_redshift_quasar,redshift,2.34,redshift,3,"[931, 772, 1028, 794]"
W2135920379,high_redshift_quasar,high_redshift_quasar,redshift,2.41,redshift,3,"[933, 1111, 1032, 1133]"
